mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
b827ebf1303d,1718511767.938784,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-126+451j),(59+422j),(198+335j),(351+159j),(368-50j),(293-214j),(181-318j),(43-339j),(-99-324j),(-209-269j),(-288-183j),(-330-68j),(-348+45j),(-317+168j),(-282+270j),(-186+354j),(-78+404j),(39+412j),(152+404j),(259+356j),(372+298j),(432+201j),(501+90j),(511-46j),(475-191j),(402-317j),(238-398j),(7-341j),(-128+0j),(291+67j),(477-145j),(462-365j),(366-521j),(223-640j),(52-699j),(-108-684j),(-264-659j),(-400-562j),(-513-455j),(-585-321j),(-633-181j),(-643-36j),(-607+105j),(-540+220j),(-447+337j),(-337+410j),(-215+474j),(-87+508j),(55+516j),(205+457j),(338+366j),(438+219j),(482+38j),(443-152j),(312-343j),(156-437j),(10277+0j),(-13824-32640j),(128+0j),0j
b827ebf1303d,1718511768.042225,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(325+245j),(386+88j),(378-71j),(282-264j),(110-353j),(-69-359j),(-210-290j),(-299-173j),(-347-57j),(-345+67j),(-295+171j),(-223+265j),(-125+336j),(-13+360j),(84+372j),(198+349j),(295+282j),(367+189j),(428+100j),(455-13j),(458-120j),(420-237j),(373-336j),(278-430j),(152-495j),(12-503j),(-149-435j),(-261-239j),(-128+0j),(254-174j),(224-442j),(65-597j),(65-597j),(-285-626j),(-439-549j),(-555-430j),(-639-315j),(-682-158j),(-699-4j),(-666+137j),(-606+256j),(-531+363j),(-420+464j),(-295+514j),(-159+554j),(-28+541j),(103+530j),(231+478j),(338+406j),(429+283j),(484+133j),(484-25j),(439-209j),(304-367j),(106-456j),(-76-447j),(10277+0j),(-13824-32640j),(128+0j),0j
b827ebf1303d,1718511768.144559,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(132+386j),(251+299j),(327+183j),(365-40j),(292-221j),(135-321j),(-26-353j),(-171-300j),(-276-200j),(-336-84j),(-340+49j),(-298+172j),(-229+268j),(-122+340j),(-16+373j),(104+370j),(221+328j),(334+247j),(401+155j),(462+28j),(452-93j),(440-226j),(364-339j),(250-431j),(117-511j),(-43-502j),(-213-408j),(-296-189j),(-128+0j),(201-229j),(87-498j),(-121-574j),(-341-566j),(-499-455j),(-637-315j),(-706-141j),(-719+32j),(-684+217j),(-615+387j),(-484+492j),(-342+576j),(-192+616j),(-19+620j),(130+598j),(285+508j),(385+399j),(465+271j),(528+131j),(533-37j),(479-197j),(389-345j),(233-455j),(25-497j),(-200-444j),(-376-286j),(-444-132j),(10277+0j),(-13824-32640j),(128+0j),0j
b827ebf1303d,1718511768.246915,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(380+203j),(400+28j),(354-125j),(223-303j),(40-353j),(-130-322j),(-249-242j),(-319-110j),(-340+15j),(-310+131j),(-240+229j),(-147+284j),(-37+336j),(76+338j),(168+318j),(265+264j),(339+169j),(388+68j),(422-41j),(409-142j),(374-246j),(324-352j),(324-352j),(116-479j),(-17-502j),(-159-454j),(-284-345j),(-323-131j),(-128+0j),(172-254j),(33-485j),(-172-567j),(-355-525j),(-511-450j),(-628-322j),(-692-163j),(-708-17j),(-688+160j),(-635+306j),(-534+428j),(-429+508j),(-296+571j),(-156+610j),(-10+593j),(139+575j),(243+485j),(356+417j),(441+303j),(441+303j),(511+16j),(498-147j),(405-291j),(255-428j),(45-485j),(-179-446j),(-341-342j),(10277+0j),(-13824-32640j),(128+0j),0j
b827ebf1303d,1718511768.349532,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(102-414j),(-70-387j),(-208-299j),(-339-132j),(-338+62j),(-275+220j),(-155+309j),(-10+329j),(100+307j),(209+252j),(281+163j),(320+43j),(325-71j),(284-174j),(251-266j),(163-346j),(64-389j),(-51-385j),(-157-381j),(-257-326j),(-363-276j),(-426-192j),(-482-83j),(-493+40j),(-461+174j),(-393+305j),(-242+381j),(-21+338j),(-128+0j),(-288-84j),(-470+126j),(-488+343j),(-377+499j),(-257+631j),(-104+695j),(58+709j),(213+680j),(361+601j),(475+502j),(565+371j),(625+249j),(644+109j),(637-46j),(567-173j),(498-311j),(386-390j),(281-476j),(150-517j),(11-536j),(-147-491j),(-307-425j),(-419-292j),(-495-114j),(-488+96j),(-386+308j),(-239+430j),(10277+0j),(-13824-32640j),(128+0j),0j
b827ebf1303d,1718511768.451774,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(265+346j),(392+241j),(466+85j),(413-199j),(224-374j),(-8-418j),(-218-372j),(-355-232j),(-412-66j),(-410+114j),(-332+265j),(-186+372j),(-33+429j),(146+403j),(301+345j),(408+224j),(491+85j),(518-78j),(491-243j),(411-394j),(260-522j),(124-610j),(-87-629j),(-284-589j),(-462-496j),(-604-278j),(-605-22j),(-403+219j),(-128+0j),(-147-380j),(-551-382j),(-769-148j),(-769-148j),(-804+419j),(-670+663j),(-457+862j),(-217+940j),(38+961j),(306+915j),(521+765j),(693+575j),(793+368j),(827+123j),(816-80j),(722-307j),(571-490j),(403-613j),(197-704j),(-34-732j),(-288-629j),(-492-506j),(-635-253j),(-677+54j),(-569+361j),(-299+583j),(-59+605j),(10277+0j),(-14080-32640j),(128+0j),0j
b827ebf1303d,1718511768.553612,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(52-284j),(-89-301j),(-224-244j),(-316-58j),(-287+117j),(-165+252j),(-11+305j),(132+271j),(232+188j),(298+66j),(294-66j),(236-181j),(142-276j),(36-307j),(-90-313j),(-220-268j),(-311-180j),(-384-70j),(-405+54j),(-384+189j),(-303+323j),(-210+413j),(-66+475j),(103+485j),(250+443j),(399+315j),(446+119j),(336-102j),(-128+0j),(58+304j),(372+342j),(569+197j),(662-28j),(648-251j),(648-251j),(388-599j),(213-693j),(8-727j),(-211-688j),(-378-587j),(-511-444j),(-599-273j),(-627-85j),(-604+103j),(-529+279j),(-394+393j),(-259+493j),(-80+552j),(99+537j),(282+440j),(431+303j),(502+100j),(496-130j),(366-353j),(121-485j),(-86-456j),(10277+0j),(-13824-32640j),(128+0j),0j
b827ebf1303d,1718511768.641739,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(371+319j),(494-79j),(239-436j),(-259-400j),(-460+39j),(-196+411j),(233+392j),(434+63j),(295-320j),(-65-426j),(-369-219j),(-403+150j),(-147+411j),(217+385j),(451+105j),(396-266j),(83-483j),(-286-397j),(-504-71j),(-421+320j),(-73+539j),(380+377j),(585+79j),(476-376j),(54-609j),(-420-443j),(-535+28j),(-174+367j),(-128+0j),(-128+0j),(-32+574j),(500+472j),(744-51j),(488-608j),(-94-799j),(-716-514j),(-793+72j),(-511+593j),(31+771j),(532+527j),(741+22j),(541-476j),(56-700j),(-420-517j),(-636-61j),(-483+370j),(-74+597j),(376+470j),(573+42j),(491-451j),(-34-563j),(-464-327j),(-523+166j),(-156+513j),(340+399j),(435-12j),(10277+0j),(-13312-32640j),(128+0j),0j
b827ebf1303d,1718511768.642383,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-157-454j),(-310-388j),(-430-270j),(-482-5j),(-405+221j),(-250+354j),(-91+443j),(63+432j),(208+371j),(319+291j),(381+172j),(408+31j),(408-83j),(351-208j),(297-322j),(212-388j),(110-454j),(-9-471j),(-123-475j),(-232-448j),(-360-399j),(-446-317j),(-537-231j),(-582-94j),(-598+43j),(-559+209j),(-414+333j),(-167+363j),(-128+0j),(-272-228j),(-577-116j),(-681+91j),(-702+301j),(-646+480j),(-535+632j),(-417+747j),(-261+810j),(-94+827j),(70+835j),(208+771j),(353+712j),(445+631j),(542+497j),(603+384j),(646+227j),(650+85j),(640-45j),(618-203j),(547-335j),(419-457j),(266-555j),(65-610j),(-147-578j),(-354-471j),(-501-268j),(-502-79j),(10277+0j),(-13568-32640j),(128+0j),0j
b827ebf1303d,1718511768.655717,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-11+353j),(103+322j),(196+253j),(305+93j),(293-87j),(206-214j),(91-284j),(-50-291j),(-170-236j),(-245-150j),(-288-47j),(-285+76j),(-237+182j),(-175+273j),(-83+331j),(28+356j),(153+341j),(257+275j),(342+221j),(416+101j),(454-14j),(453-137j),(417-254j),(339-374j),(214-469j),(57-504j),(-128-449j),(-259-249j),(-128+0j),(251-183j),(188-467j),(10-603j),(-206-624j),(-401-575j),(-554-461j),(-660-300j),(-722-135j),(-722+60j),(-681+242j),(-589+384j),(-465+495j),(-323+568j),(-161+607j),(-9+608j),(160+575j),(283+477j),(402+384j),(484+254j),(532+97j),(524-76j),(454-243j),(330-390j),(137-481j),(-94-486j),(-320-371j),(-418-228j),(10277+0j),(-13824-32640j),(128+0j),0j
