mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
b827ebf1303d,1718512340.770660,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(203-562j),(-36-571j),(-250-489j),(-488-262j),(-488-262j),(-463+298j),(-291+465j),(-70+545j),(127+517j),(313+437j),(449+307j),(522+127j),(545-58j),(508-229j),(435-391j),(311-517j),(138-588j),(-36-594j),(-195-586j),(-352-510j),(-491-413j),(-572-271j),(-633-120j),(-638+58j),(-580+240j),(-469+404j),(-253+485j),(20+403j),(-128+0j),(-338-41j),(-503+240j),(-438+483j),(-269+632j),(-85+723j),(113+720j),(289+655j),(445+565j),(549+417j),(622+256j),(644+91j),(628-53j),(580-187j),(484-309j),(367-380j),(252-446j),(124-465j),(3-465j),(-112-448j),(-234-396j),(-337-292j),(-420-166j),(-451-11j),(-414+169j),(-295+319j),(-106+424j),(44+443j),(10277+0j),(-13568-32640j),(128+0j),0j
b827ebf1303d,1718512340.872893,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(203+443j),(299+374j),(371+279j),(461+65j),(411-143j),(300-295j),(170-377j),(18-400j),(-111-373j),(-219-330j),(-307-238j),(-345-132j),(-379-32j),(-380+80j),(-349+178j),(-299+273j),(-221+350j),(-147+414j),(-53+465j),(35+481j),(153+466j),(243+446j),(333+403j),(422+347j),(485+274j),(528+139j),(506-9j),(353-166j),(-128+0j),(30+351j),(314+486j),(523+447j),(680+344j),(777+208j),(829+70j),(859-62j),(822-204j),(793-335j),(727-449j),(616-549j),(502-629j),(403-660j),(271-696j),(160-705j),(30-682j),(-78-641j),(-189-623j),(-287-570j),(-392-497j),(-483-376j),(-559-258j),(-599-102j),(-599+105j),(-526+320j),(-346+490j),(-214+543j),(10277+0j),(-14336-32640j),(128+0j),0j
b827ebf1303d,1718512340.975357,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(273-488j),(87-562j),(-107-561j),(-370-414j),(-495-185j),(-506+56j),(-447+234j),(-302+351j),(-169+429j),(-17+450j),(112+420j),(225+344j),(323+247j),(368+135j),(390+31j),(388-83j),(349-181j),(288-278j),(215-349j),(124-392j),(6-422j),(-115-426j),(-206-406j),(-316-356j),(-408-269j),(-464-123j),(-441+33j),(-294+174j),(-128+0j),(-89-304j),(-379-343j),(-564-233j),(-671-69j),(-696+109j),(-678+263j),(-635+405j),(-526+515j),(-402+611j),(-270+664j),(-128+671j),(17+661j),(130+611j),(226+553j),(311+491j),(380+397j),(413+291j),(456+213j),(492+102j),(491-11j),(463-131j),(397-247j),(288-350j),(148-423j),(-23-449j),(-210-380j),(-284-248j),(10277+0j),(-14592-32640j),(128+0j),0j
b827ebf1303d,1718512341.078125,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-133-630j),(-359-504j),(-514-306j),(-577+19j),(-483+311j),(-272+487j),(-47+564j),(172+497j),(351+401j),(463+257j),(514+83j),(510-99j),(449-260j),(346-390j),(220-497j),(58-540j),(-106-542j),(-262-486j),(-410-397j),(-508-275j),(-567-119j),(-583+50j),(-562+198j),(-476+358j),(-355+485j),(-173+563j),(42+520j),(230+317j),(-128+0j),(-295+158j),(-267+459j),(-95+612j),(119+657j),(299+615j),(475+528j),(595+383j),(658+227j),(658+227j),(658-120j),(580-247j),(497-356j),(390-432j),(256-476j),(120-494j),(4-476j),(-97-440j),(-206-383j),(-287-316j),(-356-229j),(-390-121j),(-413+8j),(-386+137j),(-303+266j),(-165+353j),(17+395j),(164+377j),(10277+0j),(-14336-32640j),(128+0j),0j
b827ebf1303d,1718512341.180596,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-263+747j),(-25+764j),(199+720j),(504+545j),(663+284j),(700+13j),(670-208j),(541-381j),(420-508j),(289-589j),(130-626j),(-30-626j),(-180-596j),(-297-541j),(-413-492j),(-493-390j),(-552-267j),(-587-148j),(-611-40j),(-603+74j),(-577+175j),(-526+281j),(-470+364j),(-380+444j),(-277+505j),(-150+537j),(14+494j),(168+325j),(-128+0j),(-306+39j),(-415+290j),(-374+467j),(-264+587j),(-160+654j),(-27+687j),(91+689j),(186+663j),(296+606j),(377+544j),(427+465j),(469+398j),(496+319j),(514+236j),(506+154j),(499+76j),(487-2j),(472-75j),(449-145j),(414-223j),(351-291j),(279-372j),(179-431j),(53-457j),(-100-434j),(-251-366j),(-350-302j),(10277+0j),(-14336-32640j),(128+0j),0j
b827ebf1303d,1718512341.282906,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-688-211j),(-720+49j),(-650+303j),(-405+575j),(-77+681j),(226+624j),(449+495j),(548+267j),(619+63j),(608-120j),(543-304j),(410-432j),(273-529j),(104-601j),(-59-610j),(-211-586j),(-371-506j),(-501-379j),(-585-258j),(-636-97j),(-648+46j),(-599+220j),(-560+361j),(-434+480j),(-290+598j),(-98+631j),(115+555j),(281+317j),(-128+0j),(-309+177j),(-287+509j),(-106+677j),(111+734j),(296+696j),(484+627j),(601+497j),(694+348j),(741+176j),(747+13j),(699-144j),(627-266j),(538-371j),(427-451j),(304-493j),(180-513j),(60-516j),(-54-499j),(-157-457j),(-264-409j),(-342-321j),(-426-213j),(-459-72j),(-448+94j),(-359+254j),(-211+384j),(-30+387j),(10277+0j),(-14080-32640j),(128+0j),0j
b827ebf1303d,1718512341.385187,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(563-72j),(504-215j),(415-332j),(193-487j),(-42-500j),(-241-426j),(-371-317j),(-419-167j),(-465-37j),(-452+93j),(-408+213j),(-320+310j),(-236+374j),(-140+428j),(-43+476j),(66+479j),(185+460j),(266+390j),(358+354j),(423+268j),(492+183j),(507+80j),(542-21j),(525-144j),(469-239j),(401-337j),(248-400j),(40-342j),(-128+0j),(263+120j),(483-24j),(536-198j),(498-339j),(449-464j),(346-552j),(258-604j),(149-631j),(41-637j),(-60-619j),(-140-586j),(-221-549j),(-296-500j),(-369-424j),(-382-346j),(-431-267j),(-440-168j),(-458-103j),(-466-4j),(-456+78j),(-426+185j),(-361+288j),(-261+372j),(-140+439j),(20+462j),(206+417j),(278+361j),(10277+0j),(-13824-32640j),(128+0j),0j
b827ebf1303d,1718512341.487755,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-306-382j),(-425-263j),(-493-104j),(-472+168j),(-316+366j),(-118+463j),(66+475j),(216+412j),(343+314j),(425+191j),(464+55j),(455-88j),(419-228j),(348-329j),(269-445j),(150-512j),(36-545j),(-113-535j),(-234-523j),(-353-468j),(-480-383j),(-557-281j),(-627-165j),(-651-1j),(-622+166j),(-533+334j),(-359+450j),(-80+411j),(-128+0j),(-316-153j),(-577+54j),(-607+275j),(-532+468j),(-422+605j),(-285+687j),(-114+719j),(6+727j),(159+685j),(289+617j),(391+528j),(481+431j),(522+319j),(545+205j),(534+91j),(520-28j),(466-125j),(423-201j),(368-286j),(289-354j),(165-404j),(48-437j),(-89-419j),(-222-361j),(-335-255j),(-406-87j),(-356+38j),(10277+0j),(-13824-32640j),(128+0j),0j
b827ebf1303d,1718512341.589333,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(409+262j),(502-21j),(406-321j),(40-515j),(-328-374j),(-487-48j),(-415+264j),(-169+458j),(138+471j),(393+318j),(502+40j),(427-237j),(243-453j),(-40-511j),(-314-433j),(-506-207j),(-554+87j),(-432+368j),(-217+566j),(88+604j),(406+478j),(589+216j),(637-110j),(486-421j),(215-604j),(-147-599j),(-424-353j),(-411+25j),(-128+0j),(-142-322j),(-509-176j),(-607+192j),(-434+518j),(-112+692j),(258+659j),(523+457j),(673+149j),(653-184j),(496-449j),(216-595j),(-87-592j),(-330-472j),(-505-256j),(-527+4j),(-449+253j),(-262+390j),(-44+472j),(203+435j),(382+277j),(453+27j),(401-226j),(201-393j),(-69-449j),(-358-318j),(-470+14j),(-349+245j),(10277+0j),(-13824-32640j),(128+0j),0j
b827ebf1303d,1718512341.692344,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-527-61j),(-517+147j),(-424+337j),(-139+512j),(169+478j),(383+319j),(486+110j),(486-107j),(376-299j),(239-425j),(55-483j),(-133-460j),(-286-403j),(-424-262j),(-522-114j),(-544+66j),(-507+260j),(-390+407j),(-267+532j),(-99+604j),(110+634j),(310+583j),(475+475j),(624+293j),(665+82j),(641-167j),(476-376j),(153-414j),(-128+0j),(342+151j),(602-114j),(585-414j),(426-636j),(216-776j),(-40-804j),(-273-768j),(-468-649j),(-612-479j),(-695-284j),(-722-81j),(-713+125j),(-624+287j),(-488+436j),(-324+509j),(-154+565j),(14+543j),(156+506j),(300+429j),(408+312j),(482+137j),(497-44j),(435-231j),(296-385j),(95-475j),(-160-444j),(-264-327j),(10277+0j),(-13568-32640j),(128+0j),0j
