mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
b827ebf1303d,1718512226.902700,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-720+181j),(-566+448j),(-330+631j),(80+711j),(437+567j),(654+293j),(734-14j),(651-307j),(520-539j),(313-695j),(65-758j),(-200-742j),(-437-661j),(-626-503j),(-782-317j),(-853-95j),(-867+160j),(-806+392j),(-691+602j),(-517+778j),(-280+902j),(-31+950j),(220+930j),(462+801j),(670+628j),(801+342j),(760+2j),(481-263j),(-128+0j),(164+412j),(572+380j),(758+132j),(798-144j),(706-387j),(544-568j),(373-663j),(156-686j),(-13-659j),(-165-596j),(-290-486j),(-368-355j),(-399-232j),(-405-113j),(-390-35j),(-356+63j),(-289+124j),(-253+174j),(-194+236j),(-137+264j),(-41+282j),(51+278j),(134+238j),(223+180j),(283+73j),(282-68j),(279-169j),(10277+0j),(-13312-32640j),(128+0j),0j
b827ebf1303d,1718512227.002866,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-232-666j),(-422-548j),(-564-385j),(-688-69j),(-656+228j),(-513+463j),(-333+633j),(-101+675j),(82+715j),(264+687j),(432+602j),(563+482j),(690+344j),(752+193j),(809+59j),(815-104j),(794-258j),(753-424j),(685-545j),(593-680j),(466-758j),(320-843j),(177-878j),(-1-872j),(-181-860j),(-354-736j),(-496-526j),(-488-192j),(-128+0j),(268-328j),(132-640j),(-83-731j),(-292-717j),(-419-625j),(-537-517j),(-601-390j),(-614-264j),(-619-141j),(-609-31j),(-545+52j),(-470+116j),(-413+160j),(-345+204j),(-294+247j),(-225+261j),(-176+260j),(-130+280j),(-80+281j),(-39+283j),(14+280j),(72+267j),(129+243j),(205+193j),(264+103j),(285-6j),(305-70j),(10277+0j),(-13312-32640j),(128+0j),0j
b827ebf1303d,1718512227.105347,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-136+674j),(165+668j),(440+533j),(662+229j),(686-138j),(547-429j),(337-633j),(77-710j),(-154-707j),(-383-632j),(-566-479j),(-702-283j),(-773-61j),(-775+162j),(-749+371j),(-638+575j),(-487+719j),(-298+830j),(-101+900j),(116+910j),(353+872j),(555+767j),(708+618j),(841+397j),(895+156j),(863-142j),(655-378j),(283-468j),(-128+0j),(327+291j),(675+96j),(767-173j),(689-432j),(546-616j),(347-726j),(155-748j),(-20-727j),(-180-645j),(-306-546j),(-400-420j),(-451-299j),(-464-180j),(-443-70j),(-407+11j),(-362+95j),(-301+158j),(-301+158j),(-200+252j),(-129+286j),(-33+305j),(56+300j),(155+259j),(240+186j),(293+86j),(301-51j),(253-187j),(10277+0j),(-13312-32640j),(128+0j),0j
b827ebf1303d,1718512227.208551,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(37+676j),(237+621j),(407+515j),(606+251j),(658-32j),(587-296j),(467-485j),(280-595j),(107-673j),(-70-691j),(-244-658j),(-393-583j),(-534-483j),(-639-371j),(-727-251j),(-782-88j),(-797+55j),(-793+226j),(-771+361j),(-708+508j),(-602+615j),(-495+733j),(-355+795j),(-187+839j),(3+861j),(203+777j),(381+595j),(441+273j),(-128+0j),(-312+275j),(-233+604j),(-35+730j),(179+741j),(316+674j),(443+588j),(536+484j),(562+356j),(597+222j),(596+112j),(543+16j),(494-59j),(447-113j),(385-176j),(327-228j),(253-252j),(204-267j),(144-293j),(85-297j),(40-303j),(-23-287j),(-87-275j),(-151-246j),(-215-182j),(-274-73j),(-284+37j),(-285+91j),(10277+0j),(-13312-32640j),(128+0j),0j
b827ebf1303d,1718512227.309391,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-668-97j),(-650+111j),(-579+298j),(-352+554j),(-64+649j),(203+629j),(410+532j),(552+360j),(651+191j),(692+9j),(675-161j),(609-328j),(535-475j),(421-607j),(304-710j),(166-769j),(2-809j),(-159-793j),(-306-779j),(-435-716j),(-594-623j),(-698-518j),(-787-366j),(-840-200j),(-838-24j),(-771+196j),(-597+375j),(-268+416j),(-128+0j),(-262-307j),(-606-220j),(-719-15j),(-720+186j),(-657+356j),(-545+474j),(-433+537j),(-302+587j),(-183+580j),(-82+559j),(11+518j),(106+481j),(162+424j),(215+360j),(221+300j),(252+239j),(269+172j),(276+132j),(291+83j),(296+29j),(290-49j),(269-119j),(222-190j),(158-249j),(69-293j),(-62-292j),(-98-284j),(10277+0j),(-13568-32640j),(128+0j),0j
b827ebf1303d,1718512227.412357,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-607-322j),(-667+23j),(-557+343j),(-218+633j),(197+624j),(523+418j),(664+104j),(630-232j),(466-499j),(209-673j),(-96-701j),(-373-599j),(-602-407j),(-734-141j),(-776+135j),(-685+427j),(-500+675j),(-209+801j),(92+866j),(390+781j),(657+606j),(823+328j),(882+28j),(820-299j),(618-580j),(303-745j),(-71-708j),(-352-384j),(-128+0j),(288-303j),(73-634j),(-287-672j),(-571-486j),(-716-237j),(-724+51j),(-623+304j),(-457+461j),(-236+569j),(-29+575j),(150+509j),(266+401j),(350+263j),(388+128j),(376-14j),(324-127j),(247-210j),(153-277j),(52-298j),(-53-294j),(-157-242j),(-245-164j),(-292-45j),(-285+106j),(-182+247j),(-10+303j),(139+305j),(10277+0j),(-13312-32640j),(128+0j),0j
b827ebf1303d,1718512227.514123,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(586+313j),(661+103j),(660-119j),(505-448j),(234-633j),(-58-670j),(-316-625j),(-492-459j),(-630-286j),(-695-93j),(-691+106j),(-654+293j),(-552+467j),(-421+611j),(-286+727j),(-115+790j),(70+808j),(258+775j),(416+727j),(571+629j),(707+498j),(797+344j),(857+167j),(853-44j),(802-238j),(660-436j),(421-557j),(81-487j),(-128+0j),(359+156j),(624-90j),(617-334j),(513-519j),(372-634j),(195-690j),(32-667j),(-97-637j),(-211-547j),(-295-456j),(-351-362j),(-397-275j),(-396-178j),(-390-90j),(-355-29j),(-328+37j),(-298+94j),(-259+132j),(-225+183j),(-179+225j),(-112+260j),(-34+292j),(59+288j),(152+252j),(233+181j),(289+56j),(236-13j),(10277+0j),(-13568-32640j),(128+0j),0j
b827ebf1303d,1718512227.616391,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-641+231j),(-515+447j),(-306+598j),(48+684j),(373+564j),(594+341j),(688+99j),(660-175j),(592-395j),(442-567j),(258-672j),(43-723j),(-181-716j),(-380-663j),(-540-576j),(-681-429j),(-785-255j),(-839-48j),(-859+148j),(-811+331j),(-712+523j),(-566+678j),(-409+783j),(-189+845j),(40+859j),(289+759j),(473+530j),(494+181j),(-128+0j),(-216+362j),(4+637j),(270+687j),(494+577j),(622+424j),(686+247j),(703+63j),(652-78j),(587-234j),(505-334j),(379-406j),(263-424j),(151-429j),(64-426j),(-37-400j),(-112-362j),(-169-299j),(-231-254j),(-271-188j),(-305-115j),(-299-20j),(-308+59j),(-266+149j),(-188+256j),(-59+314j),(89+309j),(199+215j),(10277+0j),(-13312-32640j),(128+0j),0j
b827ebf1303d,1718512227.718766,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(99-647j),(-110-659j),(-317-594j),(-581-364j),(-686-62j),(-639+240j),(-523+466j),(-317+612j),(-132+697j),(72+719j),(265+675j),(446+575j),(603+458j),(701+306j),(785+149j),(817-18j),(802-197j),(767-377j),(704-533j),(586-687j),(429-795j),(264-859j),(93-892j),(-111-877j),(-317-826j),(-510-654j),(-607-402j),(-534-65j),(-128+0j),(163-403j),(-106-652j),(-358-665j),(-568-566j),(-675-395j),(-735-226j),(-737-66j),(-691+79j),(-635+205j),(-566+315j),(-450+381j),(-325+419j),(-229+425j),(-141+430j),(-65+431j),(19+404j),(88+356j),(156+339j),(214+284j),(275+229j),(300+148j),(330+68j),(332-38j),(298-160j),(209-277j),(79-340j),-308j,(10277+0j),(-13312-32640j),(128+0j),0j
b827ebf1303d,1718512227.821239,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(652+144j),(652-120j),(548-364j),(238-623j),(-136-636j),(-436-488j),(-620-257j),(-666+39j),(-611+292j),(-466+508j),(-260+647j),(-6+692j),(222+687j),(439+579j),(628+440j),(743+230j),(800+0j),(784-232j),(707-455j),(555-642j),(334-791j),(107-857j),(-143-864j),(-399-765j),(-602-599j),(-747-318j),(-714+4j),(-441+269j),(-128+0j),(-188-380j),(-585-304j),(-752-38j),(-743+247j),(-621+485j),(-428+646j),(-214+710j),(7+707j),(183+638j),(321+535j),(429+390j),(493+241j),(492+90j),(472-48j),(412-138j),(337-241j),(233-292j),(145-337j),(47-357j),(-66-345j),(-181-288j),(-273-209j),(-331-93j),(-339+54j),(-286+211j),(-139+322j),(-53+328j),(10277+0j),(-13312-32640j),(128+0j),0j
