mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
946424a0ce80,1716460400.792899,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(-180-391j),(-217-343j),(-221-307j),(-215-173j),(-121-88j),(3-83j),(127-163j),(165-280j),(167-420j),(87-535j),(-40-584j),(-189-584j),(-288-483j),(-317-342j),(-297-193j),(-171-51j),(2+34j),(202+59j),(390-4j),(527-121j),(583-287j),(577-404j),(490-503j),(373-535j),(252-514j),(131-424j),(45-298j),(9-134j),(126-916j),(-16+138j),(-4+294j),(38+429j),(88+552j),(171+653j),(255+724j),(316+766j),(398+747j),(426+706j),(421+650j),(375+596j),(282+562j),(176+561j),(62+616j),(-3+693j),(-31+768j),(-11+864j),(27+921j),(125+966j),(248+963j),(366+886j),(491+767j),(525+602j),(491+449j),(398+340j),(328+317j),(270+212j),(10277+0j),(-14848-32640j),(128+0j),0j
b827eb6ccb75,1716460400.845194,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(500-294j),(-423-409j),(-382+366j),(472+286j),(105-577j),(-591+3j),(200+582j),(685-227j),(-335-574j),(-476+434j),(413+545j),(321-446j),(-438-330j),(-270+492j),(489+153j),(201-543j),(-529-107j),(-164+526j),(491+194j),(195-359j),(-397-217j),(-83+285j),(220+262j),(233-260j),(-166-261j),(-223+222j),(208+212j),(15-161j),(126-916j),(-148-160j),(-64+169j),(149+167j),(80-208j),(23-195j),(-193+126j),(-94+406j),(324+80j),(182-344j),(-486-160j),(-219+464j),(588+230j),(179-616j),(-654-185j),(-124+677j),(627+101j),(12-601j),(-604+77j),(126+571j),(516-209j),(-223-494j),(-463+366j),(411+369j),(338-465j),(-535-206j),(-81+557j),(620+65j),(9249+0j),(-22528-32640j),(128+0j),0j
b827ebf1303d,1716460400.874009,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(200-102j),(108-185j),(-6-219j),(-138-198j),(-225-105j),(-272+10j),(-271+134j),(-216+251j),(-148+332j),(-31+389j),(94+406j),(236+371j),(362+326j),(470+220j),(567+89j),(604-70j),(612-240j),(584-406j),(508-567j),(376-707j),(169-809j),(-36-865j),(-259-832j),(-463-738j),(-635-600j),(-747-337j),(-723-47j),(-486+198j),(126-916j),(-66-429j),(-430-513j),(-660-390j),(-799-203j),(-834+4j),(-816+199j),(-779+351j),(-653+510j),(-539+625j),(-402+719j),(-223+766j),(-35+754j),(125+724j),(273+651j),(394+567j),(498+434j),(553+267j),(594+135j),(605-31j),(570-186j),(469-349j),(322-475j),(132-540j),(-94-553j),(-322-462j),(-501-248j),(-554-57j),(10277+0j),(-13312-32640j),(128+0j),0j
946424a0ce80,1716460400.894268,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(-162-284j),(-115-298j),(-54-295j),(-54-219j),(-19-125j),(39-42j),(109+42j),(181+93j),(241+146j),(292+176j),(324+195j),(332+203j),(287+184j),(218+155j),(135+127j),(20+78j),(-97+11j),(-218-69j),(-317-139j),(-401-210j),(-459-269j),(-452-321j),(-450-353j),(-450-353j),(-307-348j),(-219-309j),(-122-237j),(-50-135j),(126-916j),(51+157j),(89+291j),(71+401j),(21+492j),(-61+572j),(-165+616j),(-279+610j),(-384+576j),(-457+492j),(-509+379j),(-545+241j),(-541+79j),(-508-103j),(-461-270j),(-378-405j),(-278-522j),(-167-614j),(-52-664j),(57-699j),(146-705j),(209-687j),(259-637j),(285-567j),(296-485j),(314-405j),(327-334j),(294-245j),(10277+0j),(-14592-32640j),(128+0j),0j
1c9957a988c3,1716460400.918348,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(40-258j),(-70-260j),(-155-200j),(-212-113j),(-208+1j),(-148+41j),(-134+28j),(-134+5j),(-163-19j),(-247+9j),(-276+100j),(-312+226j),(-276+389j),(-185+542j),(-65+659j),(110+704j),(285+721j),(535+665j),(768+478j),(905+235j),(990-23j),(915-303j),(808-508j),(629-706j),(376-853j),(88-873j),(-155-720j),(-447-377j),(126-916j),(370-311j),(111-745j),(-183-922j),(-517-824j),(-767-653j),(-948-366j),(-1007-14j),(-916+208j),(-766+437j),(-613+613j),(-350+727j),(-132+730j),(47+654j),(186+590j),(302+452j),(335+301j),(355+196j),(337+49j),(246-34j),(192-63j),(161-102j),(104-112j),(91-135j),(18-138j),(18-138j),(-22-89j),(-34-35j),(11297+0j),(-18688-32640j),(128+0j),0j
b827eb6ccb75,1716460400.948676,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(-100-572j),(-310-441j),(-419-185j),(-433+124j),(-277+377j),(-59+489j),(222+426j),(537+281j),(519+34j),(498-224j),(336-440j),(131-566j),(-72-579j),(-271-452j),(-434-287j),(-505-72j),(-518+108j),(-437+283j),(-286+412j),(-146+464j),(1+418j),(131+268j),(229+233j),(303+148j),(306+79j),(273-30j),(204-133j),(22-107j),(126-916j),(78+96j),(-77-54j),(-90-32j),(56-57j),(109+22j),(167+17j),(114-106j),(181-144j),(128-272j),(15-361j),(-149-341j),(-306-277j),(-451-145j),(-470+23j),(-433+211j),(-314+392j),(-127+477j),(100+490j),(297+375j),(430+217j),(332+39j),(388-160j),(219-286j),(14-349j),(-189-269j),(-311-98j),(-304+180j),(9249+0j),(-22016-32640j),(128+0j),0j
b827ebf1303d,1716460400.977118,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(-121+38j),(-115+87j),(-80+136j),(28+171j),(141+136j),(206+50j),(234-54j),(192-171j),(122-249j),(18-305j),(-99-317j),(-238-281j),(-348-192j),(-429-75j),(-489+75j),(-464+247j),(-393+404j),(-266+548j),(-97+652j),(119+675j),(348+636j),(543+533j),(694+341j),(765+91j),(746-162j),(601-402j),(333-534j),(9-450j),(126-916j),(358+46j),(517-249j),(429-484j),(257-623j),(74-686j),(-139-691j),(-299-632j),(-450-520j),(-560-372j),(-645-205j),(-651-25j),(-611+150j),(-540+292j),(-406+416j),(-266+485j),(-109+514j),(60+492j),(190+440j),(311+354j),(404+227j),(444+78j),(443-92j),(361-256j),(216-385j),(11-439j),(-214-378j),(-328-250j),(10277+0j),(-13824-32640j),(128+0j),0j
946424a0ce80,1716460400.997814,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(-199-124j),(-183-127j),(-152-137j),(-95-96j),(-2-92j),(90-120j),(173-170j),(221-234j),(251-293j),(255-348j),(234-384j),(203-388j),(139-352j),(97-272j),(47-164j),(13-22j),(6+139j),(6+288j),(32+430j),(69+548j),(137+625j),(164+667j),(199+662j),(216+619j),(205+540j),(193+433j),(156+298j),(92+138j),(126-916j),(-64-87j),(-77-190j),(-76-291j),(-49-389j),(-29-503j),(-3-597j),(35-644j),(50-719j),(74-717j),(99-695j),(129-629j),(173-532j),(229-417j),(305-304j),(364-195j),(425-91j),(503-1j),(554+82j),(603+140j),(636+168j),(642+155j),(635+148j),(599+131j),(539+110j),(477+113j),(430+116j),(351+94j),(10277+0j),(-14592-32640j),(128+0j),0j
b827eb6ccb75,1716460401.051322,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(-217+243j),(123+375j),(442+206j),(480-224j),(232-557j),(-237-535j),(-596-220j),(-460+353j),(-293+571j),(141+632j),(414+456j),(612+75j),(601-279j),(352-507j),(-53-697j),(-413-607j),(-635-244j),(-657+219j),(-453+468j),(-103+550j),(202+489j),(374+316j),(383+178j),(445-35j),(381-193j),(186-351j),(-55-361j),(-179-166j),(126-916j),(24-279j),(-124-148j),(-175-81j),(-129-43j),(-147+1j),(-186-10j),(-172+131j),(-264+180j),(-114+398j),(109+488j),(403+342j),(582+71j),(540-290j),(272-526j),(-138-606j),(-439-483j),(-623-102j),(-549+310j),(-287+546j),(170+594j),(507+325j),(603-25j),(418-434j),(71-585j),(-312-464j),(-574-98j),(-590+238j),(9249+0j),(-22272-32640j),(128+0j),0j
b827ebf1303d,1716460401.079515,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(-119+106j),(-81+171j),(-14+213j),(115+200j),(115+200j),(261+32j),(278-78j),(244-190j),(199-290j),(109-360j),(-3-402j),(-123-401j),(-251-397j),(-374-337j),(-477-260j),(-563-138j),(-622+7j),(-655+167j),(-644+334j),(-587+494j),(-452+629j),(-319+759j),(-128+802j),(85+796j),(278+762j),(456+596j),(546+355j),(477+60j),(126-916j),(-146+356j),(69+570j),(276+591j),(447+542j),(547+422j),(627+309j),(691+196j),(678+58j),(687-66j),(661-191j),(588-298j),(485-389j),(387-457j),(265-506j),(162-535j),(36-531j),(-80-481j),(-173-452j),(-265-388j),(-342-315j),(-399-188j),(-439-88j),(-436+65j),(-392+221j),(-273+371j),(-80+455j),(63+437j),(10277+0j),(-13824-32640j),(128+0j),0j
