mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
b827ebf1303d,1716460514.847850,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(101-94j),(7-98j),(-71-57j),(-106-20j),(-109+46j),(-90+89j),(-66+132j),(-23+155j),(20+176j),(85+188j),(146+162j),(214+117j),(266+71j),(305-10j),(330-119j),(310-215j),(265-312j),(203-396j),(100-459j),(-15-498j),(-157-494j),(-272-467j),(-397-385j),(-489-272j),(-528-137j),(-524+35j),(-428+184j),(-221+254j),(126-916j),(-160-240j),(-427-196j),(-550-52j),(-604+106j),(-577+275j),(-519+417j),(-416+533j),(-293+629j),(-163+687j),(4+719j),(177+700j),(346+626j),(477+518j),(590+367j),(650+220j),(673+37j),(628-152j),(576-304j),(466-469j),(313-594j),(71-648j),(-168-649j),(-413-535j),(-607-314j),(-687+3j),(-590+349j),(-446+540j),(10277+0j),(-13824-32640j),(128+0j),0j
946424a0ce80,1716460514.867764,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(227-695j),(266-583j),(282-453j),(169-524j),(39-537j),(-48-502j),(-99-421j),(-104-296j),(-93-188j),(-38-43j),(33+108j),(98+262j),(223+411j),(338+527j),(446+624j),(512+651j),(538+658j),(538+651j),(477+596j),(368+522j),(243+431j),(76+353j),(-76+254j),(-211+189j),(-351+123j),(-414+97j),(-424+104j),(-283+131j),(126-916j),(131-271j),(116-410j),(147-425j),(234-398j),(310-317j),(423-230j),(493-111j),(575+11j),(623+127j),(621+254j),(597+349j),(527+425j),(439+498j),(305+563j),(193+625j),(75+637j),(-34+636j),(-123+593j),(-212+526j),(-299+420j),(-378+303j),(-493+206j),(-612+135j),(-722+121j),(-804+172j),(-845+271j),(-940+130j),(10277+0j),(-15104-32640j),(128+0j),0j
b827eb6ccb75,1716460514.922887,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(-261+654j),(421+646j),(669+69j),(343-542j),(-374-540j),(-590+101j),(-187+587j),(341+320j),(605-255j),(85-707j),(-515-457j),(-654+227j),(-135+706j),(548+516j),(689-187j),(226-584j),(-398-471j),(-599+131j),(-247+603j),(281+523j),(556+39j),(483-452j),(-105-462j),(-357-216j),(-330+147j),(-54+322j),(226+167j),(149-94j),(126-916j),(109-66j),(-156-98j),(-67+121j),(163+27j),(96-205j),(-216-159j),(-83+86j),(30+424j),(475+203j),(451-366j),(-96-648j),(-695-280j),(-632+432j),(27+768j),(648+356j),(611-391j),(-63-722j),(-608-294j),(-522+375j),(69+620j),(645+281j),(457-356j),(-80-558j),(-530-154j),(-347+375j),(207+469j),(528+137j),(9249+0j),(-22528-32640j),(128+0j),0j
b827ebf1303d,1716460514.950094,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(-9-108j),(-104-79j),(-162+5j),(-137+106j),(-47+171j),(47+179j),(137+157j),(192+85j),(229+17j),(242-76j),(214-172j),(133-268j),(45-327j),(-90-345j),(-236-322j),(-355-243j),(-446-116j),(-503+25j),(-495+190j),(-425+364j),(-273+508j),(-111+588j),(94+613j),(292+532j),(449+418j),(548+197j),(512-34j),(307-215j),(126-916j),(156+280j),(471+202j),(598+0j),(620-233j),(525-456j),(357-613j),(179-695j),(-59-732j),(-270-687j),(-471-587j),(-629-410j),(-715-169j),(-722+53j),(-654+298j),(-529+468j),(-327+607j),(-74+653j),(139+643j),(371+546j),(548+374j),(630+107j),(636-187j),(475-460j),(196-639j),(-174-654j),(-505-443j),(-641-181j),(10277+0j),(-13568-32640j),(128+0j),0j
946424a0ce80,1716460514.970082,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(484-564j),(441-454j),(387-336j),(298-451j),(205-487j),(101-471j),(21-412j),(-25-309j),(-79-202j),(-87-36j),(-79+134j),(-72+336j),(-5+498j),(70+644j),(96+762j),(144+825j),(171+833j),(186+809j),(163+715j),(104+606j),(11+435j),(-86+278j),(-182+131j),(-272-19j),(-359-116j),(-403-185j),(-422-181j),(-319-58j),(126-916j),(257-159j),(326-270j),(357-254j),(393-182j),(405-51j),(417+92j),(418+238j),(392+380j),(349+506j),(281+602j),(191+668j),(59+676j),(-65+672j),(-189+633j),(-282+580j),(-390+506j),(-456+425j),(-474+329j),(-479+198j),(-456+45j),(-404-102j),(-430-272j),(-467-422j),(-515-523j),(-631-568j),(-751-517j),(-722-679j),(10277+0j),(-15104-32640j),(128+0j),0j
b827eb6ccb75,1716460515.025570,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(24+203j),(258+86j),(257-217j),(-123-377j),(-408-59j),(-215+362j),(235+378j),(394-49j),(211-420j),(-250-398j),(-497-3j),(-276+399j),(178+434j),(484+100j),(347-326j),(-66-464j),(-392-213j),(-409+189j),(-409+189j),(292+288j),(398-24j),(229-352j),(-137-315j),(-282-65j),(-190+183j),(16+217j),(168+81j),(55-92j),(126-916j),(62+22j),(-83+9j),(-2+93j),(100+4j),(51-145j),(-143-104j),(-304+129j),(11+321j),(331+194j),(391-208j),(19-479j),(-424-309j),(-486+219j),(-96+563j),(397+360j),(548-180j),(133-547j),(-389-407j),(-515+113j),(-152+478j),(285+314j),(437-112j),(107-436j),(-322-253j),(-343+142j),(29+345j),(271+85j),(11297+0j),(-22272-32640j),(128+0j),0j
b827ebf1303d,1716460515.052835,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(32+24j),(68-33j),(65-99j),(7-139j),(-57-140j),(-127-110j),(-166-64j),(-193+5j),(-200+66j),(-185+130j),(-154+196j),(-108+246j),(-40+298j),(35+333j),(119+358j),(218+348j),(315+296j),(405+221j),(479+140j),(529+22j),(537-87j),(543-214j),(478-323j),(377-426j),(270-512j),(121-528j),(-47-482j),(-192-306j),(126-916j),(295-78j),(361-334j),(283-506j),(156-611j),(17-652j),(-138-670j),(-275-666j),(-388-587j),(-518-501j),(-617-381j),(-678-257j),(-706-105j),(-713+34j),(-664+202j),(-589+331j),(-484+454j),(-340+537j),(-209+602j),(-40+642j),(134+636j),(315+558j),(492+424j),(605+217j),(648-39j),(568-315j),(349-548j),(143-627j),(10277+0j),(-13824-32640j),(128+0j),0j
946424a0ce80,1716460515.072704,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(644+306j),(543+268j),(438+225j),(506+109j),(518-8j),(467-91j),(376-133j),(245-145j),(106-141j),(-37-89j),(-210-40j),(-368+70j),(-508+148j),(-627+234j),(-728+330j),(-771+376j),(-777+415j),(-735+386j),(-645+343j),(-534+241j),(-421+122j),(-247-16j),(-145-165j),(-14-285j),(89-375j),(136-462j),(123-462j),(12-330j),(126-916j),(189+231j),(319+288j),(315+316j),(213+348j),(83+397j),(-70+426j),(-222+417j),(-377+427j),(-485+380j),(-584+300j),(-645+209j),(-684+92j),(-678-39j),(-638-174j),(-555-301j),(-478-409j),(-400-463j),(-300-503j),(-173-494j),(-27-466j),(145-428j),(323-412j),(469-424j),(592-474j),(624-547j),(610-655j),(737-619j),(10277+0j),(-15104-32640j),(128+0j),0j
b827eb6ccb75,1716460515.128009,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(-456-125j),(-416-233j),(-258-329j),(-263-365j),(-263-337j),(-273-332j),(-308-358j),(-298-346j),(-290-378j),(-281-393j),(-232-461j),(-187-440j),(-137-462j),(-90-465j),(-69-463j),(-21-443j),(15-428j),(101-445j),(156-415j),(191-351j),(256-284j),(80-251j),(258-143j),(259-38j),(245-28j),(204+26j),(168+49j),(135-60j),(126-916j),(-81+18j),(61+75j),(64+61j),(66-79j),(80-129j),(130-167j),(236-236j),(284-242j),(343-239j),(402-225j),(468-204j),(511-132j),(535-84j),(547-31j),(521+17j),(513+39j),(509+48j),(498+96j),(491+103j),(479+128j),(358+123j),(451+119j),(409+139j),(425+130j),(400+118j),(403+107j),(466+152j),(9249+0j),(-22272-32640j),(128+0j),0j
b827ebf1303d,1716460515.155018,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(-40-15j),(-88-12j),(-120+28j),(-86+105j),137j,(83+126j),(154+89j),(182+20j),(199-54j),(176-139j),(124-216j),(26-257j),(-67-285j),(-182-262j),(-302-201j),(-376-96j),(-415+27j),(-421+158j),(-384+297j),(-287+416j),(-131+515j),(24+551j),(195+526j),(353+434j),(468+309j),(522+109j),(466-97j),(262-225j),(126-916j),(156+248j),(438+191j),(557-1j),(580-186j),(513-389j),(391-533j),(249-644j),(52-691j),(-126-687j),(-321-630j),(-490-505j),(-619-330j),(-682-147j),(-684+73j),(-633+254j),(-508+437j),(-304+559j),(-128+633j),(95+644j),(321+585j),(520+386j),(641+153j),(648-151j),(498-451j),(215-649j),(-183-654j),(-422-518j),(10277+0j),(-13824-32640j),(128+0j),0j
