mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
b827eb6ccb75,1716460435.866648,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(-353+229j),(-70+237j),(189+1j),(-15-272j),(-269-163j),(-306+129j),(-63+319j),(239+285j),(329+70j),(191-208j),(-101-240j),(-250-86j),(-331+101j),(-214+163j),(-101-111j),(158+23j),(214-9j),(224-98j),(153-87j),(15+129j),(-168+46j),(-213-113j),(-287+152j),(-221+267j),(47+402j),(362+196j),(337-182j),(41-124j),(126-916j),(105-244j),(-151-359j),(-378-109j),(-412+234j),(-131+606j),(344+542j),(443+129j),(450-295j),(126-686j),(-410-636j),(-678-115j),(-608+434j),(-164+733j),(538+615j),(814+90j),(479-474j),(-65-685j),(-485-435j),(-592+139j),(-230+561j),(418+553j),(440+97j),(372-302j),(22-444j),(-342-224j),(-408+91j),(-306+332j),(9249+0j),(-22784-32640j),(128+0j),0j
b827ebf1303d,1716460435.895990,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(54+352j),(140+296j),(203+221j),(280+109j),(295-18j),(268-132j),(226-214j),(154-265j),(83-317j),(-5-343j),(-92-343j),(-174-327j),(-268-298j),(-345-240j),(-419-183j),(-484-89j),(-510+10j),(-528+131j),(-521+247j),(-482+365j),(-406+468j),(-305+544j),(-214+607j),(-61+626j),(77+629j),(207+545j),(314+401j),(328+176j),(126-916j),(-233+198j),(-189+420j),(-87+528j),(25+568j),(120+564j),(205+545j),(290+530j),(332+483j),(397+438j),(461+384j),(495+315j),(518+234j),(539+166j),(546+76j),(538+3j),(509-84j),(471-165j),(438-242j),(380-317j),(320-387j),(206-428j),(114-483j),(-22-498j),(-183-467j),(-339-383j),(-466-218j),(-510-79j),(10277+0j),(-14592-32640j),(128+0j),0j
946424a0ce80,1716460435.915654,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(434+35j),(366+17j),(274+3j),(140-105j),(-34-153j),(-219-102j),(-379-9j),(-466+97j),(-548+215j),(-560+330j),(-516+413j),(-444+440j),(-352+410j),(-248+340j),(-135+237j),(-34+91j),(61-107j),(135-298j),(184-471j),(221-615j),(203-728j),(220-789j),(203-798j),(177-769j),(157-699j),(114-589j),(57-442j),-227j,(126-916j),(21+136j),(-20+219j),(-106+317j),(-214+393j),(-299+479j),(-380+534j),(-416+504j),(-470+516j),(-496+449j),(-492+355j),(-489+237j),(-459+95j),(-435-44j),(-402-180j),(-345-301j),(-288-387j),(-237-459j),(-167-519j),(-108-567j),(-57-594j),(-18-547j),(-2-563j),(32-519j),(63-462j),(84-417j),(114-385j),(156-319j),(10277+0j),(-15360-32640j),(128+0j),0j
b827eb6ccb75,1716460435.969641,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(65+120j),(77+40j),(77-123j),(-8-156j),(-35-158j),(-119-138j),(-165-102j),(-215+26j),(-165-56j),(-175-15j),(-160+34j),(-145+25j),(-174+15j),(-176+42j),(-154+72j),(-166+86j),(-126+128j),(-149+126j),(-192+99j),(-212+126j),(-237+177j),(-242+317j),(-200+360j),(-151+449j),(-49+501j),(111+502j),(221+374j),(301+110j),(126-916j),(-220+218j),(-55+387j),(25+449j),(109+446j),(140+426j),(160+448j),(205+520j),(218+383j),(268+382j),(345+411j),(406+387j),(477+322j),(524+259j),(574+102j),(595-17j),(552-132j),(509-249j),(394-375j),(280-473j),(143-514j),(107-416j),(-187-447j),(-309-341j),(-402-234j),(-441-96j),(-428+87j),(-445+195j),(9249+0j),(-22272-32640j),(128+0j),0j
b827ebf1303d,1716460435.998364,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(106+118j),(175+87j),(222+21j),(204-115j),(105-199j),(-10-225j),(-119-208j),(-216-147j),(-264-63j),(-286+46j),(-266+156j),(-182+257j),(-99+336j),(39+377j),(186+370j),(327+308j),(455+192j),(533+34j),(556-152j),(496-336j),(347-519j),(182-645j),(-54-663j),(-279-599j),(-454-481j),(-569-253j),(-550+6j),(-345+209j),(126-916j),(-145-315j),(-480-267j),(-643-62j),(-681+171j),(-609+415j),(-461+594j),(-306+716j),(-64+762j),(151+749j),(346+679j),(521+547j),(648+338j),(687+139j),(684-86j),(601-257j),(476-428j),(284-515j),(123-575j),(-76-568j),(-249-510j),(-394-370j),(-511-187j),(-528+29j),(-472+258j),(-309+454j),(-21+553j),(181+494j),(10277+0j),(-14336-32640j),(128+0j),0j
946424a0ce80,1716460436.018401,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(291+301j),(250+242j),(190+185j),(136+34j),(15-88j),(-154-133j),(-315-127j),(-423-69j),(-558+6j),(-592+91j),(-578+158j),(-502+195j),(-398+201j),(-260+156j),(-105+83j),(78-30j),(240-171j),(387-307j),(504-438j),(578-527j),(621-586j),(647-616j),(632-609j),(588-561j),(524-486j),(423-388j),(309-278j),(161-148j),(126-916j),(-125+127j),(-236+194j),(-368+234j),(-501+254j),(-609+251j),(-694+223j),(-760+193j),(-758+140j),(-738+84j),(-676+14j),(-588-69j),(-466-152j),(-339-244j),(-217-300j),(-69-343j),(59-371j),(174-379j),(287-391j),(379-388j),(428-385j),(436-356j),(458-363j),(421-339j),(377-293j),(320-239j),(288-173j),(258-101j),(10277+0j),(-15104-32640j),(128+0j),0j
1c9957a988c3,1716460436.020642,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(-74+336j),(5+358j),(83+351j),(161+293j),(212+225j),(247+172j),(287+128j),(314+91j),(308+77j),(376+45j),(428-18j),(454-76j),(556-136j),(585-241j),(622-357j),(633-471j),(559-580j),(455-729j),(338-843j),(191-926j),(21-959j),(-189-984j),(-370-953j),(-565-809j),(-701-678j),(-766-404j),(-746-170j),(-501+120j),(126-916j),(26-406j),(-318-571j),(-536-553j),(-742-431j),(-796-182j),(-821+32j),(-749+226j),(-628+370j),(-507+443j),(-325+463j),(-170+453j),(-17+392j),(58+279j),(127+224j),(138+133j),(115+57j),(70+12j),(-22+16j),(-31+3j),(-69+38j),(-75+51j),(-61+53j),(-56+79j),(-37+89j),119j,(42+89j),(50+63j),(11297+0j),(-18176-32640j),(128+0j),0j
beb4de7fea26,1716460436.031611,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(374+140j),(319+94j),(241+52j),(110-90j),(-71-174j),(-232-173j),(-377-101j),(-510-11j),(-596+78j),(-646+159j),(-658+215j),(-722+302j),(-738+343j),(-695+372j),(-652+395j),(-557+369j),(-428+353j),(-258+270j),(-73+150j),(90+37j),(307-132j),(452-377j),(607-536j),(683-679j),(692-791j),(551-862j),(352-790j),(40-506j),(126-916j),(286+278j),(375+227j),(288+212j),(127+164j),(-80+125j),(-256+98j),(-411+76j),(-628-2j),(-621-10j),(-703-33j),(-724-19j),(-712-10j),(-649+25j),(-491+17j),(-334+41j),(-130+67j),(-8+48j),(197-23j),(301-76j),(427-132j),(507-191j),(481-275j),(421-341j),(337-361j),(225-374j),(130-283j),(88-249j),(10273+0j),(-18432-32640j),(128+0j),0j
beb4de7fea26,1716460436.098995,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(464-72j),(335-160j),(167-221j),(-72-245j),(-293-180j),(-458-55j),(-559+95j),(-582+214j),(-605+361j),(-587+454j),(-610+507j),(-646+591j),(-630+621j),(-592+615j),(-517+611j),(-434+586j),(-321+530j),(-156+458j),(25+324j),(184+190j),(438+47j),(639-96j),(825-274j),(967-415j),(1026-570j),(972-689j),(751-712j),(311-558j),(126-916j),(232+573j),(440+606j),(462+573j),(379+452j),(248+274j),(131+77j),(-12-101j),(-153-309j),(-212-397j),(-248-524j),(-285-599j),(-286-640j),(-219-635j),(-151-586j),(-45-504j),(68-398j),(170-307j),(254-183j),(322-101j),(392-48j),(401-30j),(375+0j),(336+43j),(268+64j),(186+125j),(186+125j),(162+282j),(10273+0j),(-18176-32640j),(128+0j),0j
b827ebf1303d,1716460436.100059,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(-158-98j),(-226-52j),(-268+21j),(-224+155j),(-133+233j),(-19+265j),(74+269j),(171+225j),(221+182j),(287+112j),(315+28j),(311-70j),(306-161j),(264-259j),(216-371j),(118-431j),(4-483j),(-125-480j),(-260-473j),(-389-405j),(-513-302j),(-601-178j),(-623-25j),(-613+128j),(-546+259j),(-440+395j),(-262+449j),(-28+379j),(126-916j),(-314-127j),(-555+70j),(-609+293j),(-556+479j),(-462+642j),(-323+753j),(-182+840j),(9+852j),(167+841j),(333+781j),(477+698j),(599+577j),(686+440j),(751+269j),(752+117j),(736-54j),(659-216j),(603-327j),(497-464j),(372-560j),(216-632j),(12-653j),(-194-610j),(-398-512j),(-568-322j),(-660-32j),(-608+159j),(10277+0j),(-15104-32640j),(128+0j),0j
