mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
beb4de7fea26,1716460485.981202,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(203-376j),(171-395j),(124-394j),(3-383j),(-86-319j),(-114-253j),(-115-201j),(-25-159j),(35-120j),(122-161j),(220-249j),(307-390j),(329-541j),(284-670j),(229-800j),(133-892j),(9-924j),(-106-890j),(-206-782j),(-225-674j),(-265-663j),(-201-514j),(-82-416j),(13-306j),(103-219j),(205-188j),(208-153j),(172-144j),(126-916j),(-54+387j),(147+663j),(350+824j),(560+892j),(730+870j),(838+783j),(931+662j),(845+497j),(634+288j),(512+191j),(357+97j),(190+55j),(-1+69j),(-142+70j),(-320+103j),(-455+185j),(-536+282j),(-547+378j),(-545+523j),(-470+664j),(-324+778j),(-97+823j),(120+744j),(272+558j),(324+323j),(264+111j),(239-30j),(11297+0j),(-18176-32640j),(128+0j),0j
946424a0ce80,1716460485.990632,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(-250+553j),(-227+491j),(-206+408j),(-37+364j),(121+221j),(196+46j),(203-141j),(148-306j),(51-441j),(-28-535j),(-123-586j),(-194-582j),(-250-537j),(-252-457j),(-191-350j),(-101-223j),(39-102j),(186-2j),(342+77j),(473+132j),(588+185j),(651+195j),(700+222j),(702+210j),(648+179j),(558+154j),(427+103j),(250+19j),(126-916j),(-195+37j),(-307+42j),(-416+1j),(-494-49j),(-562-144j),(-592-229j),(-598-291j),(-577-390j),(-539-459j),(-462-511j),(-373-560j),(-265-594j),(-135-612j),(-6-623j),(125-605j),(231-567j),(356-532j),(452-511j),(537-484j),(591-478j),(596-472j),(575-486j),(496-463j),(401-416j),(308-310j),(254-195j),(187-104j),(10277+0j),(-15104-32640j),(128+0j),0j
b827eb6ccb75,1716460486.043790,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(-363+498j),(240+570j),(570+103j),(337-470j),(-243-519j),(-561-13j),(-332+497j),(333+567j),(575+116j),(411-421j),(-125-567j),(-531-277j),(-506+230j),(-113+545j),(343+454j),(538+97j),(393-266j),(43-387j),(-243-297j),(-380-52j),(-304+163j),(-148+368j),(195+229j),(325+62j),(318-187j),(107-321j),(-128-238j),(-136+118j),(126-916j),(-177-3j),(-200+68j),(-194+130j),(-157+173j),(53+229j),(298+109j),(205-162j),(185-356j),(-187-349j),(-466-51j),(-446+385j),(-66+583j),(411+439j),(592-107j),(377-572j),(-153-614j),(-558-210j),(-510+390j),(-4+673j),(513+388j),(754-316j),(155-620j),(-421-514j),(-594+83j),(-160+528j),(360+401j),(396-39j),(9249+0j),(-22528-32640j),(128+0j),0j
9ec95a1f926c,1716460486.070684,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(338+337j),(298+207j),(229+66j),(96-159j),(-83-312j),(-320-430j),(-551-438j),(-664-400j),(-882-328j),(-959-258j),(-1043-202j),(-1039-140j),(-1035-89j),(-940-50j),(-824-17j),(-670-32j),(-496-56j),(-357-41j),(-207-62j),(-69-36j),(14-21j),(57+19j),(97+84j),(126+150j),(166+246j),(162+315j),(190+287j),(205+147j),(126-916j),(-299+113j),(-280+272j),(-248+304j),(-153+315j),(-17+231j),(114+171j),(227+86j),(333-16j),(446-81j),(493-139j),(598-191j),(625-235j),(619-256j),(571-271j),(459-291j),(347-271j),(144-240j),(18-193j),(-170-163j),(-322-72j),(-463+17j),(-557+153j),(-517+293j),(-424+433j),(-231+485j),(-19+461j),(113+456j),(10273+0j),(-18176-32640j),(128+0j),0j
b827ebf1303d,1716460486.072816,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(123-98j),(69-178j),(-23-221j),(-165-172j),(-250-55j),(-250+82j),(-190+202j),(-80+266j),(31+302j),(158+288j),(265+221j),(351+108j),(403-30j),(389-174j),(346-320j),(226-438j),(66-518j),(-126-547j),(-298-503j),(-469-402j),(-568-228j),(-634-38j),(-608+165j),(-514+349j),(-361+510j),(-139+556j),(93+485j),(245+262j),(126-916j),(-232+167j),(-166+415j),(9+498j),(197+517j),(342+432j),(474+334j),(564+199j),(593+31j),(582-149j),(520-322j),(406-441j),(249-527j),(87-566j),(-105-548j),(-253-490j),(-396-357j),(-472-199j),(-499-31j),(-484+133j),(-418+301j),(-250+433j),(-63+497j),(166+481j),(379+343j),(498+110j),(472-187j),(338-351j),(10277+0j),(-14080-32640j),(128+0j),0j
946424a0ce80,1716460486.092417,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(-605-90j),(-541-83j),(-460-93j),(-366+67j),(-199+166j),(6+191j),(198+159j),(343+77j),(502-31j),(572-134j),(608-231j),(599-329j),(546-359j),(458-336j),(379-299j),(262-175j),(157-28j),(61+143j),(-21+325j),(-76+478j),(-88+601j),(-130+658j),(-158+734j),(-163+733j),(-154+693j),(-128+622j),(-79+485j),(-2+276j),(126-916j),(-68-195j),(-102-300j),(-59-384j),(33-459j),(123-530j),(226-573j),(322-563j),(426-562j),(514-511j),(581-444j),(637-366j),(663-249j),(667-121j),(654+13j),(612+142j),(553+265j),(510+378j),(443+491j),(396+585j),(373+649j),(370+643j),(383+646j),(371+571j),(340+476j),(262+364j),(142+291j),(70+232j),(10277+0j),(-15104-32640j),(128+0j),0j
956424a0ce82,1716460486.094412,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(631-37j),(557+30j),(459+77j),(352-39j),(208-147j),(35-196j),(-158-191j),(-307-134j),(-434-74j),(-534-40j),(-605-3j),(-606+26j),(-608+70j),(-541+74j),(-413+35j),(-259-7j),(-109-35j),(75-115j),(252-173j),(405-219j),(519-231j),(601-232j),(675-205j),(676-172j),(650-145j),(563-91j),(428-63j),(257-60j),(126-916j),(-165+73j),(-281+96j),(-376+28j),(-465-63j),(-502-193j),(-518-331j),(-482-420j),(-425-546j),(-352-637j),(-222-707j),(-82-703j),(86-675j),(236-577j),(382-495j),(512-378j),(573-229j),(641-55j),(664+85j),(697+225j),(708+317j),(703+397j),(668+412j),(608+386j),(511+345j),(375+292j),(225+245j),(162+135j),(11297+0j),(-16896-32640j),(128+0j),0j
845cf353e34b,1716460486.095018,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(187+51j),(269-60j),(276-197j),(169-367j),(81-419j),(-104-428j),(-224-400j),(-271-280j),(-375-233j),(-382-153j),(-382-64j),(-403-10j),(-386+28j),(-351+101j),(-347+137j),(-297+143j),(-276+158j),(-255+168j),(-236+212j),(-227+232j),(-172+195j),(-68+107j),(-120+138j),(-110+93j),(-156+87j),(-153+32j),(-93+27j),(-213-61j),(126-916j),(-3-234j),(-108-367j),(-276-471j),(-402-447j),(-641-358j),(-812-318j),(-914-66j),(-982+76j),(-1026+316j),(-1015+505j),(-941+723j),(-805+830j),(-597+970j),(-498+1058j),(-304+985j),(-150+949j),(13+855j),(125+816j),(176+695j),(260+614j),(334+644j),(468+474j),(523+417j),(626+237j),(678+57j),(675-195j),(577-321j),(11297+0j),(-21504-32640j),(128+0j),0j
beb4de7fea26,1716460486.109816,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(-526+327j),(-382+485j),(-181+555j),(102+534j),(309+436j),(402+255j),(433+88j),(370-17j),(277-73j),(222-58j),(219+21j),(326+91j),(488+75j),(646-48j),(761-292j),(764-585j),(581-839j),(315-997j),(39-994j),(-223-908j),(-454-868j),(-520-655j),(-514-498j),(-460-374j),(-405-280j),(-344-208j),(-235-132j),(-179-63j),(126-916j),(281-101j),(452-411j),(431-745j),(215-1051j),(-147-1223j),(-540-1205j),(-774-954j),(-1076-659j),(-935-285j),(-837+9j),(-649+193j),(-411+269j),(-206+211j),(-63+76j),(-20-72j),(-76-232j),(-235-349j),(-459-333j),(-667-199j),(-769+59j),(-720+409j),(-494+675j),(-141+809j),(245+682j),(464+396j),(454+66j),(380-201j),(11297+0j),(-17920-32640j),(128+0j),0j
b827eb6ccb75,1716460486.146147,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(-316-172j),(-243+266j),(162+339j),(355-161j),(-111-365j),(-402+95j),(65+415j),(415-84j),(85-396j),(-362-155j),(-228+325j),(284+261j),(330-186j),(-132-372j),(-360+11j),(-110+358j),(318+186j),(255-234j),(-154-305j),(-316+24j),(-85+287j),(297+214j),(247-163j),(-55-256j),(-220-59j),(-137+206j),(115+178j),(99-106j),(126-916j),(48-99j),(-140-51j),(-123+95j),(53+131j),(116+101j),(182-54j),(23-123j),(-227-117j),(-196+161j),(115+264j),(325-44j),(74-320j),(-333-157j),(-248+301j),(244+306j),(351-173j),(-73-418j),(-446+8j),(-66+431j),(416+152j),(367-370j),(-314-260j),(-284+304j),(270+311j),(319-233j),(-222-315j),(-312+150j),(9249+0j),(-22528-32640j),(128+0j),0j
