mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
946424a0ce80,1716460459.780872,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(268-106j),(317-102j),(339-106j),(401-205j),(414-301j),(380-389j),(317-443j),(224-423j),(128-393j),(37-302j),(-57-175j),(-142-17j),(-202+153j),(-226+296j),(-289+450j),(-311+554j),(-319+636j),(-311+682j),(-308+663j),(-299+607j),(-297+506j),(-281+405j),(-259+246j),(-237+93j),(-216-40j),(-192-185j),(-183-240j),(-176-175j),(126-916j),(305+30j),(506-37j),(597-53j),(629-26j),(642+47j),(602+155j),(542+271j),(447+397j),(365+498j),(230+589j),(85+671j),(-59+728j),(-180+737j),(-305+701j),(-393+638j),(-494+581j),(-556+498j),(-595+407j),(-587+289j),(-577+156j),(-546+13j),(-543-131j),(-562-258j),(-614-350j),(-688-357j),(-753-320j),(-711-362j),(10277+0j),(-15104-32640j),(128+0j),0j
f84d898372ac,1716460459.794978,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(609+51j),(578-173j),(457-360j),(204-446j),(-1-388j),(-83-261j),(-43-171j),(31-150j),(113-216j),(114-350j),(73-478j),(-70-586j),(-255-613j),(-489-579j),(-680-436j),(-772-206j),(-749+14j),(-665+200j),(-488+317j),(-277+341j),(-138+254j),(-104+134j),(-133+45j),(-199-26j),(-260-20j),(-326+58j),(-286+159j),(-117+209j),(126-916j),(-226-167j),(-439-3j),(-482+201j),(-364+380j),(-190+495j),(23+499j),(179+401j),(304+258j),(364+47j),(327-143j),(182-298j),(-14-315j),(-198-226j),(-305-60j),(-282+130j),(-143+273j),(51+346j),(271+300j),(438+165j),(509-51j),(462-309j),(295-519j),(22-617j),(-256-538j),(-470-287j),(-495+25j),(-410+237j),(10273+0j),(-17664-32640j),(128+0j),0j
946424a0ce82,1716460459.796025,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(-374-3j),(-347+112j),(-316+222j),(-311+374j),(-244+515j),(-145+596j),(-45+578j),(75+497j),(138+382j),(177+226j),(164+71j),(95-64j),(20-226j),(-99-347j),(-238-439j),(-330-506j),(-425-533j),(-484-525j),(-479-474j),(-448-428j),(-381-374j),(-280-318j),(-171-265j),(-57-230j),(69-185j),(165-173j),(232-145j),(158-170j),(126-916j),(-17+271j),(97+457j),(99+531j),(91+580j),(42+593j),(-16+616j),(-97+599j),(-210+558j),(-313+504j),(-420+417j),(-524+349j),(-605+289j),(-666+211j),(-712+136j),(-728+37j),(-734-49j),(-706-120j),(-665-172j),(-580-209j),(-477-278j),(-392-372j),(-313-462j),(-270-559j),(-279-672j),(-345-737j),(-434-743j),(-436-742j),(11297+0j),(-16896-32640j),(128+0j),0j
946424a0ce82,1716460459.806308,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(-578-124j),(-495+114j),(-337+293j),(-141+491j),(154+541j),(433+402j),(554+125j),(498-158j),(291-288j),(60-307j),(-108-139j),(-108+75j),(53+238j),(258+274j),(474+157j),(606-40j),(587-341j),(411-564j),(155-624j),(-48-584j),(-175-443j),(-202-297j),(-151-219j),(-80-175j),(-58-232j),(-78-257j),(-136-244j),(-207-98j),(126-916j),(170-200j),(58-416j),(-87-517j),(-220-501j),(-333-449j),(-422-388j),(-468-321j),(-522-266j),(-586-218j),(-644-127j),(-696-5j),(-695+112j),(-668+261j),(-623+394j),(-512+529j),(-383+583j),(-273+620j),(-139+638j),(-5+604j),(50+565j),(133+553j),(180+574j),(350+577j),(578+497j),(795+264j),(885-113j),(845-384j),(11297+0j),(-16896-32640j),(128+0j),0j
946424a0ce82,1716460459.808009,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(477-252j),(380-269j),(282-306j),(232-435j),(157-564j),(-5-600j),(-136-574j),(-239-474j),(-291-329j),(-274-184j),(-208-13j),(-77+125j),(90+201j),(275+251j),(428+287j),(526+262j),(637+216j),(673+148j),(639+90j),(565+59j),(455+52j),(377+54j),(260+98j),(135+142j),(65+198j),(3+253j),(-10+291j),(33+226j),(126-916j),(-203-159j),(-399-165j),(-484-177j),(-496-207j),(-504-239j),(-483-300j),(-437-371j),(-382-447j),(-312-511j),(-253-581j),(-190-655j),(-130-738j),(-82-740j),(-3-722j),(76-705j),(132-676j),(196-655j),(237-607j),(281-520j),(347-433j),(406-356j),(499-326j),(609-299j),(678-352j),(672-452j),(625-561j),(645-590j),(10273+0j),(-16896-32640j),(128+0j),0j
946424a0ce82,1716460459.817666,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(497+6j),(425-166j),(280-298j),(44-470j),(-304-450j),(-551-169j),(-543+220j),(-265+451j),(51+422j),(217+194j),(170-46j),(-28-134j),(-254-1j),(-274+254j),(-101+498j),(219+551j),(532+391j),(700+78j),(610-235j),(412-436j),(144-456j),(-3-376j),(-70-273j),(-74-229j),(-55-232j),(-99-252j),(-178-197j),(-225-48j),(126-916j),(47-262j),(-205-382j),(-401-303j),(-551-113j),(-556+77j),(-519+248j),(-428+382j),(-328+478j),(-206+584j),(-48+658j),(158+668j),(386+601j),(556+438j),(659+245j),(718+43j),(662-188j),(542-393j),(374-528j),(161-578j),(18-555j),(-131-556j),(-258-510j),(-452-438j),(-677-254j),(-797+114j),(-667+544j),(-453+755j),(11297+0j),(-16896-32640j),(128+0j),0j
946424a0ce82,1716460459.832010,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(277-144j),(197-288j),(62-389j),(-128-451j),(-326-414j),(-473-250j),(-520-43j),(-446+135j),(-290+232j),(-126+226j),(14+145j),(108-22j),(89-234j),(-33-386j),(-213-463j),(-392-469j),(-542-398j),(-671-275j),(-690-96j),(-627+41j),(-516+125j),(-392+144j),(-294+116j),(-232+53j),(-216-53j),(-223-102j),(-247-98j),(-236+12j),(126-916j),(112-252j),(-3-446j),(-103-514j),(-186-540j),(-251-497j),(-276-487j),(-236-471j),(-258-507j),(-247-537j),(-258-597j),(-305-632j),(-348-631j),(-379-627j),(-442-589j),(-512-562j),(-539-514j),(-578-462j),(-557-413j),(-547-345j),(-524-317j),(-461-320j),(-513-322j),(-589-339j),(-727-268j),(-856-93j),(-895+142j),(-852+328j),(11297+0j),(-16896-32640j),(128+0j),0j
946424a0ce82,1716460459.832257,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(459+350j),(468+144j),(405-44j),(349-308j),(149-491j),(-152-523j),(-373-389j),(-439-130j),(-379+105j),(-181+212j),(5+145j),(99-20j),(39-230j),(-159-345j),(-392-344j),(-599-167j),(-686+98j),(-613+386j),(-413+543j),(-184+612j),(22+534j),(136+398j),(132+282j),(95+192j),(28+218j),(17+248j),(79+276j),(189+165j),(126-916j),(-214+176j),(-140+448j),(33+525j),(192+539j),(313+455j),(408+388j),(451+333j),(476+272j),(554+215j),(615+170j),(694+59j),(732-68j),(694-226j),(638-388j),(539-544j),(403-633j),(246-700j),(102-680j),(-59-643j),(-153-592j),(-217-523j),(-293-521j),(-445-512j),(-656-387j),(-864-115j),(-886+290j),(-826+532j),(11297+0j),(-16896-32640j),(128+0j),0j
b827ebf1303d,1716460459.856815,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(-165+10j),(-133+111j),(-66+186j),(44+207j),(131+172j),(201+104j),(240+26j),(252-70j),(240-157j),(202-235j),(130-307j),(42-336j),(-67-375j),(-167-367j),(-273-351j),(-378-294j),(-467-201j),(-548-82j),(-589+44j),(-599+200j),(-533+337j),(-457+483j),(-340+572j),(-179+633j),(-6+674j),(184+589j),(330+438j),(362+183j),(126-916j),(-224+249j),(-115+510j),(64+599j),(247+621j),(386+545j),(521+470j),(637+362j),(685+224j),(750+67j),(758-114j),(695-273j),(598-419j),(484-534j),(309-619j),(157-667j),(-27-661j),(-198-601j),(-335-524j),(-465-407j),(-559-263j),(-591-53j),(-586+140j),(-481+348j),(-291+514j),(-34+593j),(257+535j),(428+410j),(10277+0j),(-13568-32640j),(128+0j),0j
f84d898372ac,1716460459.863702,(7183+4099j),(4060-8187j),(948-6148j),(-2049-9j),(184+406j),(283+296j),(322+177j),(266+44j),(175+32j),(160+82j),(188+160j),(282+205j),(436+167j),(566+102j),(674-42j),(702-204j),(678-392j),(578-558j),(426-679j),(233-724j),(47-674j),(-96-523j),(-121-365j),(-101-224j),-103j,(128-80j),(205-113j),(298-214j),(281-343j),(206-441j),(60-442j),(-133-264j),(126-916j),(307-86j),(280-346j),(173-476j),(-1-489j),(-169-430j),(-284-294j),(-330-153j),(-332+31j),(-234+187j),(-87+278j),(93+297j),(255+191j),(337+16j),(306-168j),(181-321j),(-7-403j),(-197-387j),(-386-281j),(-510-77j),(-513+138j),(-447+323j),(-275+504j),(-29+549j),(206+464j),(375+256j),(406-11j),(309-221j),(10273+0j),(-17664-32640j),(128+0j),0j
