mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
b827ebf1303d,1718514980.168137,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-389-144j),(-413-7j),(-381+127j),(-208+340j),(41+381j),(247+278j),(363+116j),(375-77j),(323-231j),(201-354j),(46-413j),(-128-414j),(-278-370j),(-407-251j),(-520-117j),(-559+59j),(-547+236j),(-485+404j),(-372+560j),(-197+674j),(25+745j),(237+728j),(456+652j),(630+484j),(746+270j),(779-9j),(628-273j),(302-396j),(-128+0j),(294+304j),(674+147j),(779-143j),(744-423j),(612-650j),(411-809j),(188-881j),(-61-908j),(-271-843j),(-482-735j),(-640-559j),(-754-355j),(-778-159j),(-757+65j),(-689+235j),(-572+407j),(-409+520j),(-253+598j),(-59+650j),(123+633j),(329+536j),(501+401j),(625+180j),(659-99j),(555-401j),(268-641j),(39-662j),(10277+0j),(-13312-32640j),(128+0j),0j
b827ebf1303d,1718514980.270373,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(189+343j),(250+285j),(293+215j),(358+10j),(301-169j),(178-285j),(46-342j),(-94-333j),(-219-304j),(-309-224j),(-374-124j),(-405-13j),(-424+96j),(-399+206j),(-370+315j),(-306+416j),(-229+500j),(-134+577j),(-26+630j),(102+659j),(244+636j),(369+606j),(491+538j),(592+423j),(671+313j),(690+122j),(625-73j),(398-226j),(-128+0j),(62+389j),(368+508j),(577+446j),(719+329j),(794+189j),(838+45j),(833-80j),(813-219j),(770-341j),(716-456j),(606-545j),(488-627j),(380-669j),(250-695j),(131-712j),(-5-688j),(-120-643j),(-226-606j),(-342-553j),(-445-481j),(-532-346j),(-614-212j),(-659-29j),(-647+195j),(-534+434j),(-298+634j),(-127+665j),(10277+0j),(-13312-32640j),(128+0j),0j
b827ebf1303d,1718514980.372904,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-38-327j),(-121-284j),(-187-215j),(-290-48j),(-276+140j),(-140+276j),(15+318j),(179+273j),(298+174j),(362+46j),(362-106j),(318-231j),(225-359j),(100-436j),(-25-489j),(-192-483j),(-352-432j),(-497-319j),(-600-186j),(-669-8j),(-661+173j),(-612+362j),(-507+503j),(-346+635j),(-144+717j),(90+685j),(300+540j),(401+243j),(-128+0j),(-265+297j),(-123+616j),(130+728j),(394+703j),(582+593j),(744+437j),(850+227j),(874+35j),(862-208j),(777-421j),(633-580j),(462-703j),(269-780j),(52-799j),(-155-757j),(-345-667j),(-493-530j),(-625-367j),(-693-177j),(-724+36j),(-670+268j),(-547+498j),(-326+675j),(1+763j),(368+689j),(683+410j),(772+136j),(10277+0j),(-13312-32640j),(128+0j),0j
b827ebf1303d,1718514980.475031,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-435-33j),(-392+95j),(-311+190j),(-128+346j),(96+337j),(256+218j),(343+63j),(336-113j),(275-240j),(167-335j),(27-386j),(-138-371j),(-267-325j),(-382-217j),(-465-93j),(-502+59j),(-493+207j),(-440+356j),(-348+486j),(-214+592j),(-31+664j),(142+682j),(325+618j),(486+503j),(611+351j),(680+119j),(605-117j),(356-279j),(-128+0j),(181+348j),(549+317j),(735+110j),(803-134j),(773-378j),(668-591j),(530-757j),(307-853j),(97-902j),(-146-901j),(-368-822j),(-560-681j),(-681-519j),(-772-304j),(-799-104j),(-778+116j),(-679+307j),(-573+476j),(-414+625j),(-222+717j),(46+736j),(294+697j),(549+529j),(737+260j),(793-118j),(632-511j),(412-688j),(10277+0j),(-13312-32640j),(128+0j),0j
b827ebf1303d,1718514980.577505,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(338+96j),(330-77j),(257-218j),(67-317j),(-115-308j),(-249-193j),(-312-52j),(-312+94j),(-255+222j),(-165+307j),(-41+350j),(66+364j),(199+344j),(306+286j),(378+216j),(448+115j),(485-5j),(514-148j),(486-268j),(453-400j),(350-483j),(256-590j),(121-637j),(-37-646j),(-189-650j),(-333-529j),(-440-363j),(-420-96j),(-128+0j),(178-329j),(6-600j),(-223-667j),(-440-647j),(-586-536j),(-728-414j),(-812-251j),(-850-92j),(-869+95j),(-845+268j),(-746+417j),(-634+544j),(-503+640j),(-326+713j),(-162+771j),(17+744j),(177+703j),(326+630j),(482+532j),(602+400j),(687+211j),(724-8j),(698-256j),(560-510j),(287-710j),(-77-767j),(-333-681j),(10277+0j),(-13312-32640j),(128+0j),0j
b827ebf1303d,1718514980.679671,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(35-449j),(-155-372j),(-279-238j),(-356-14j),(-295+190j),(-139+310j),(21+352j),(172+290j),(280+209j),(348+83j),(364-43j),(347-172j),(273-291j),(188-382j),(83-468j),(-45-495j),(-179-492j),(-311-431j),(-436-373j),(-535-262j),(-622-151j),(-633+6j),(-659+145j),(-603+296j),(-502+442j),(-360+550j),(-138+572j),(105+417j),(-128+0j),(-372-7j),(-542+274j),(-496+523j),(-357+683j),(-202+794j),(-17+849j),(169+832j),(333+810j),(506+700j),(638+576j),(742+413j),(810+259j),(817+84j),(797-113j),(797-113j),(619-429j),(480-529j),(341-631j),(174-695j),(-9-724j),(-225-668j),(-439-584j),(-617-405j),(-743-133j),(-730+190j),(-556+532j),(-330+692j),(10277+0j),(-13312-32640j),(128+0j),0j
b827ebf1303d,1718514980.781220,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(234-472j),(33-460j),(-125-383j),(-336-216j),(-393+34j),(-315+246j),(-168+370j),(17+410j),(191+364j),(321+266j),(413+132j),(446-23j),(424-179j),(361-318j),(286-442j),(143-530j),(-14-569j),(-170-544j),(-318-510j),(-450-421j),(-575-315j),(-643-173j),(-683-12j),(-656+168j),(-575+337j),(-443+471j),(-227+526j),(41+414j),(-128+0j),(-128+0j),(-542+209j),(-520+462j),(-381+636j),(-226+764j),(-28+827j),(164+825j),(357+787j),(535+668j),(683+521j),(774+340j),(835+162j),(837-43j),(780-253j),(661-421j),(508-576j),(322-664j),(135-717j),(-75-736j),(-279-685j),(-493-549j),(-662-366j),(-753-96j),(-741+236j),(-556+549j),(-206+765j),(79+793j),(10277+0j),(-13312-32640j),(128+0j),0j
b827ebf1303d,1718514980.884629,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-407-283j),(-435-170j),(-436-56j),(-393+195j),(-227+357j),(-31+425j),(146+404j),(291+314j),(387+217j),(444+92j),(462-40j),(427-183j),(383-292j),(301-391j),(214-482j),(106-534j),(5-551j),(-104-576j),(-215-564j),(-320-531j),(-429-465j),(-504-399j),(-571-298j),(-606-188j),(-620-67j),(-588+76j),(-481+194j),(-270+260j),(-128+0j),(-113-305j),(-383-354j),(-540-292j),(-647-191j),(-702-76j),(-735+47j),(-745+153j),(-724+271j),(-689+379j),(-635+493j),(-540+577j),(-428+657j),(-311+701j),(-184+738j),(-59+754j),(87+737j),(216+676j),(337+618j),(465+547j),(577+444j),(661+268j),(729+84j),(721-142j),(640-389j),(458-623j),(144-768j),(-51-766j),(10277+0j),(-13312-32640j),(128+0j),0j
b827ebf1303d,1718514980.985830,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-1020-2049j),(-396+127j),(-309+285j),(-75+408j),(150+395j),(319+252j),(415+95j),(410-91j),(358-258j),(254-369j),(113-449j),(-31-470j),(-192-454j),(-320-390j),(-431-313j),(-516-193j),(-567-63j),(-595+96j),(-573+228j),(-537+379j),(-433+478j),(-327+581j),(-194+635j),(-43+648j),(125+650j),(277+536j),(378+378j),(374+131j),(-128+0j),(-203+267j),(-86+522j),(88+608j),(276+625j),(404+570j),(534+500j),(648+387j),(712+275j),(772+122j),(800-51j),(763-207j),(697-351j),(604-476j),(473-579j),(323-677j),(153-709j),(-16-708j),(-180-674j),(-352-621j),(-506-518j),(-627-336j),(-717-145j),(-735+129j),(-629+414j),(-397+660j),(-33+780j),(236+727j),(10277+0j),(-13312-32640j),(128+0j),0j
b827ebf1303d,1718514981.088138,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-329+230j),(-178+346j),(-3+382j),(226+304j),(333+128j),(353-69j),(299-224j),(170-333j),(43-395j),(-98-399j),(-237-347j),(-344-251j),(-427-141j),(-468-6j),(-480+138j),(-448+271j),(-376+394j),(-276+489j),(-167+566j),(-38+608j),(121+610j),(261+582j),(381+506j),(488+394j),(558+273j),(580+99j),(507-70j),(317-204j),(-128+0j),(87+311j),(368+356j),(540+276j),(650+136j),(696-20j),(700-167j),(683-310j),(612-444j),(523-575j),(401-667j),(242-728j),(73-767j),(-83-756j),(-254-706j),(-388-625j),(-525-501j),(-599-345j),(-657-202j),(-705-25j),(-696+159j),(-605+366j),(-471+550j),(-251+693j),(44+758j),(373+685j),(671+433j),(767+169j),(10277+0j),(-13312-32640j),(128+0j),0j
