mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
b827ebf1303d,1718513856.408926,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-210-448j),(-356-295j),(-422-108j),(-421+151j),(-287+359j),(-89+451j),(98+471j),(281+383j),(418+273j),(500+128j),(526-39j),(511-204j),(443-353j),(343-493j),(236-601j),(71-668j),(-113-683j),(-290-652j),(-461-592j),(-607-473j),(-729-329j),(-791-144j),(-827+57j),(-776+267j),(-670+451j),(-488+603j),(-212+652j),(99+487j),(-128+0j),(-405-1j),(-573+325j),(-471+580j),(-280+722j),(-95+786j),(112+793j),(277+725j),(428+646j),(550+496j),(633+359j),(676+207j),(689+56j),(655-84j),(592-234j),(489-356j),(373-445j),(241-503j),(90-540j),(-60-536j),(-210-492j),(-346-403j),(-473-260j),(-531-79j),(-523+145j),(-391+358j),(-163+506j),(53+537j),(10277+0j),(-12800-32640j),(128+0j),0j
b827ebf1303d,1718513856.511646,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-54-460j),(-217-376j),(-330-241j),(-426-11j),(-382+229j),(-226+390j),(-44+470j),(150+442j),(320+370j),(441+245j),(512+84j),(529-87j),(491-260j),(410-409j),(314-532j),(161-615j),(-14-664j),(-192-652j),(-364-613j),(-526-506j),(-663-377j),(-745-207j),(-785-8j),(-759+201j),(-653+408j),(-476+572j),(-205+622j),(98+462j),(-128+0j),(-389+12j),(-525+342j),(-413+592j),(-209+725j),(-7+780j),(205+754j),(379+675j),(519+550j),(615+387j),(690+220j),(692+48j),(664-107j),(593-252j),(484-385j),(358-466j),(211-523j),(52-541j),(-102-519j),(-242-465j),(-374-371j),(-457-214j),(-528-48j),(-506+162j),(-386+368j),(-163+498j),(110+511j),(297+439j),(10277+0j),(-12800-32640j),(128+0j),0j
b827ebf1303d,1718513856.612689,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(152-460j),(24-479j),(-107-464j),(-342-359j),(-479-170j),(-512+47j),(-479+225j),(-369+376j),(-250+498j),(-106+566j),(44+587j),(180+569j),(328+539j),(453+463j),(565+399j),(649+285j),(725+150j),(747-5j),(767-139j),(744-278j),(707-415j),(624-531j),(527-644j),(386-730j),(229-785j),(36-774j),(-174-668j),(-328-386j),(-128+0j),(375-158j),(432-484j),(306-683j),(122-762j),(-15-793j),(-168-779j),(-289-715j),(-396-654j),(-497-556j),(-569-462j),(-612-358j),(-637-263j),(-642-150j),(-642-21j),(-596+96j),(-545+201j),(-476+288j),(-405+379j),(-306+451j),(-195+504j),(-58+525j),(88+533j),(243+479j),(404+369j),(517+160j),(536-85j),(489-213j),(10277+0j),(-12544-32640j),(128+0j),0j
b827ebf1303d,1718513856.714838,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(285+628j),(634-183j),(-97-560j),(-556+162j),(144+519j),(525-115j),(-19-527j),(-580-19j),(-162+626j),(578+244j),(350-516j),(-358-446j),(-629+252j),(120+705j),(775+46j),(208-755j),(-596-426j),(-624+463j),(273+799j),(898-128j),(139-856j),(-773-397j),(-626+597j),(420+772j),(852-204j),(-39-826j),(-687-151j),(-106+478j),(-128+0j),(47+442j),(671-69j),(56-759j),(-730-314j),(-474+654j),(487+674j),(760-280j),(-15-802j),(-743-190j),(-445+629j),(441+576j),(691-240j),(-68-651j),(-577-188j),(-295+500j),(355+467j),(508-282j),(-95-547j),(-570-17j),(-189+471j),(438+282j),(389-391j),(-355-427j),(-355-427j),(230+461j),(465-185j),(-6-420j),(10277+0j),(-12544-32640j),(128+0j),0j
b827ebf1303d,1718513856.818366,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(182+495j),(324+433j),(444+325j),(560+52j),(521-221j),(377-421j),(201-553j),(-3-587j),(-186-594j),(-352-532j),(-499-427j),(-597-280j),(-684-133j),(-714+33j),(-726+196j),(-687+369j),(-609+526j),(-508+673j),(-384+776j),(-236+862j),(-54+893j),(120+903j),(290+869j),(474+769j),(616+654j),(722+435j),(728+167j),(538-105j),(-128+0j),(-41+444j),(280+632j),(522+586j),(702+459j),(702+459j),(816+127j),(821-3j),(772-151j),(730-283j),(664-391j),(557-469j),(430-535j),(324-576j),(197-600j),(85-614j),(-43-594j),(-152-536j),(-256-496j),(-361-417j),(-440-330j),(-499-191j),(-538-37j),(-512+135j),(-438+316j),(-274+484j),(-27+546j),(104+506j),(10277+0j),(-12544-32640j),(128+0j),0j
b827ebf1303d,1718513856.919894,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-538-36j),(-534+122j),(-479+272j),(-278+494j),(1+575j),(251+525j),(435+420j),(544+243j),(613+87j),(637-94j),(601-264j),(601-264j),(406-568j),(265-671j),(126-771j),(-39-806j),(-207-806j),(-379-763j),(-534-701j),(-670-599j),(-801-466j),(-878-322j),(-935-145j),(-934+53j),(-881+253j),(-749+462j),(-500+589j),(-142+532j),(-128+0j),(-371-244j),(-719-59j),(-796+190j),(-744+405j),(-656+572j),(-535+682j),(-388+746j),(-261+785j),(-113+779j),(29+763j),(166+716j),(282+663j),(366+589j),(442+486j),(491+378j),(530+260j),(543+131j),(545+28j),(539-84j),(499-203j),(419-331j),(312-444j),(152-521j),(-43-545j),(-256-484j),(-452-316j),(-486-188j),(10277+0j),(-12544-32640j),(128+0j),0j
b827ebf1303d,1718513857.023315,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-177-490j),(-352-417j),(-483-288j),(-577+19j),(-494+297j),(-313+484j),(-112+591j),(112+591j),(295+555j),(461+454j),(583+311j),(665+134j),(703-45j),(688-239j),(657-418j),(557-566j),(431-701j),(282-808j),(114-880j),(-80-911j),(-293-878j),(-466-808j),(-640-696j),(-773-526j),(-869-338j),(-877-66j),(-748+197j),(-424+358j),(-128+0j),(-185-415j),(-589-417j),(-784-230j),(-867-10j),(-844+205j),(-781+379j),(-682+513j),(-550+626j),(-422+687j),(-269+738j),(-118+735j),(45+716j),(150+662j),(282+584j),(364+515j),(445+399j),(499+264j),(530+161j),(556+29j),(545-108j),(475-254j),(377-388j),(216-493j),(20-550j),(-206-514j),(-427-359j),(-468-195j),(10277+0j),(-12544-32640j),(128+0j),0j
b827ebf1303d,1718513857.125656,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(53-406j),(-119-394j),(-261-322j),(-399-123j),(-418+91j),(-323+271j),(-200+394j),(-32+431j),(108+449j),(244+403j),(364+314j),(458+195j),(511+59j),(521-86j),(521-228j),(463-361j),(375-476j),(262-570j),(128-632j),(-10-669j),(-183-646j),(-319-614j),(-456-520j),(-567-387j),(-633-237j),(-636-28j),(-540+168j),(-295+279j),(-128+0j),(-167-288j),(-461-255j),(-586-91j),(-622+89j),(-584+247j),(-508+377j),(-407+457j),(-294+525j),(-183+556j),(-68+565j),(60+536j),(168+492j),(249+436j),(327+346j),(375+270j),(407+164j),(409+60j),(397-33j),(379-135j),(335-228j),(244-315j),(127-377j),(-14-399j),(-170-365j),(-309-262j),(-398-75j),(-376+74j),(10277+0j),(-12544-32640j),(128+0j),0j
b827ebf1303d,1718513857.228043,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-332-409j),(-478-259j),(-554-53j),(-487+296j),(-236+519j),(64+563j),(328+492j),(513+296j),(613+79j),(617-159j),(531-385j),(362-551j),(160-679j),(-86-711j),(-321-694j),(-545-574j),(-723-389j),(-841-158j),(-876+91j),(-839+357j),(-689+606j),(-492+784j),(-248+903j),(51+932j),(51+932j),(588+637j),(696+308j),(555-65j),(-128+0j),(13+459j),(423+567j),(701+400j),(852+127j),(843-150j),(756-397j),(622-585j),(411-703j),(204-775j),(-10-788j),(-214-711j),(-385-589j),(-506-444j),(-595-264j),(-613-91j),(-585+100j),(-494+252j),(-401+391j),(-249+492j),(-80+545j),(125+516j),(315+431j),(461+265j),(543+25j),(495-253j),(283-478j),(89-512j),(10277+0j),(-12544-32640j),(128+0j),0j
b827ebf1303d,1718513857.329665,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-169-502j),(-313-444j),(-438-341j),(-566-67j),(-526+206j),(-392+417j),(-218+538j),(-9+594j),(157+606j),(332+544j),(474+442j),(584+300j),(688+147j),(723-27j),(736-188j),(698-357j),(633-514j),(534-662j),(412-785j),(258-870j),(72-923j),(-112-920j),(-279-891j),(-455-794j),(-620-667j),(-741-437j),(-743-162j),(-543+116j),(-128+0j),(42-452j),(-288-640j),(-550-598j),(-723-450j),(-814-283j),(-850-120j),(-830+40j),(-793+173j),(-729+302j),(-656+422j),(-537+510j),(-408+570j),(-296+600j),(-167+622j),(-58+622j),(71+599j),(182+523j),(280+490j),(382+411j),(461+311j),(509+155j),(531+18j),(501-165j),(414-349j),(241-494j),(-5-554j),(-132-503j),(10277+0j),(-12544-32640j),(128+0j),0j
