mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
b827ebf1303d,1718512001.720568,(-1-2048j),(1023-1j),(-1-1024j),(-1-1024j),(141+267j),(230+170j),(270+55j),(244-101j),(149-214j),(24-250j),(-96-241j),(-182-167j),(-242-94j),(-267+8j),(-254+98j),(-215+206j),(-142+286j),(-45+333j),(51+376j),(170+364j),(291+322j),(381+247j),(461+154j),(514+34j),(531-81j),(511-212j),(484-330j),(383-430j),(272-534j),(116-567j),(-69-516j),(-226-318j),(-128+0j),(313-114j),(373-405j),(246-585j),(78-681j),(-75-704j),(-246-699j),(-385-639j),(-495-550j),(-594-423j),(-674-285j),(-690-139j),(-685-5j),(-645+120j),(-582+244j),(-494+340j),(-382+426j),(-273+479j),(-146+510j),(-23+526j),(108+510j),(247+452j),(369+347j),(447+198j),(483+13j),(426-178j),(283-344j),(122-408j),(10277+0j),(-13824-32640j),(128+0j),0j
b827ebf1303d,1718512001.823111,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-446-333j),(-532-19j),(-428+272j),(-110+481j),(246+403j),(424+145j),(432-140j),(243-331j),(23-424j),(-212-369j),(-379-206j),(-438+31j),(-376+272j),(-197+436j),(54+521j),(314+453j),(521+253j),(594-26j),(554-308j),(372-547j),(108-690j),(-205-694j),(-495-566j),(-694-302j),(-756+38j),(-630+373j),(-324+582j),(84+477j),(-128+0j),(-394+132j),(-352+573j),(-19+789j),(352+755j),(670+569j),(875+246j),(916-104j),(800-450j),(537-708j),(230-854j),(-112-855j),(-409-734j),(-640-518j),(-762-201j),(-744+104j),(-619+388j),(-385+575j),(-122+666j),(180+659j),(454+510j),(622+242j),(656-102j),(502-414j),(200-612j),(-189-610j),(-514-347j),(-594+1j),(10277+0j),(-14080-32640j),(128+0j),0j
b827ebf1303d,1718512001.925571,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-214+326j),(-65+361j),(79+333j),(232+231j),(295+62j),(273-87j),(213-189j),(120-231j),(18-269j),(-82-258j),(-170-213j),(-233-136j),(-276-54j),(-283+52j),(-282+160j),(-236+252j),(-158+323j),(-64+359j),(36+391j),(132+387j),(261+363j),(342+294j),(433+217j),(502+109j),(507-15j),(484-163j),(369-286j),(144-318j),(-128+0j),(243+192j),(501+67j),(594-133j),(562-313j),(507-483j),(381-596j),(248-671j),(108-706j),(-56-700j),(-182-665j),(-319-589j),(-421-503j),(-491-396j),(-554-276j),(-560-146j),(-567-9j),(-506+111j),(-470+221j),(-402+326j),(-295+413j),(-156+471j),(-2+496j),(160+450j),(312+352j),(422+193j),(446-19j),(391-184j),(10277+0j),(-14080-32640j),(128+0j),0j
b827ebf1303d,1718512002.028019,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-176-256j),(-259-186j),(-313-89j),(-285+113j),(-159+242j),(-1+280j),(139+247j),(229+151j),(285+29j),(277-92j),(217-213j),(111-273j),(1-314j),(-137-310j),(-259-261j),(-352-157j),(-410-37j),(-439+109j),(-398+248j),(-327+376j),(-194+477j),(-50+536j),(113+546j),(274+493j),(415+404j),(511+227j),(509+4j),(333-172j),(-128+0j),(111+303j),(423+311j),(588+147j),(663-57j),(635-260j),(554-433j),(554-433j),(271-656j),(93-703j),(-90-700j),(-255-632j),(-396-531j),(-493-410j),(-567-245j),(-599-102j),(-584+76j),(-514+223j),(-421+357j),(-293+478j),(-135+544j),(72+537j),(258+474j),(419+332j),(511+118j),(508-132j),(346-369j),(181-438j),(10277+0j),(-13824-32640j),(128+0j),0j
b827ebf1303d,1718512002.130282,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(9+397j),(320+237j),(382-103j),(91-376j),(-266-271j),(-359+70j),(-162+328j),(165+313j),(351+67j),(293-223j),(28-372j),(-258-277j),(-401+7j),(-284+316j),(2+456j),(333+328j),(493-10j),(355-360j),(17-548j),(-367-442j),(-576-77j),(-499+343j),(-148+592j),(288+540j),(584+200j),(539-245j),(539-245j),(-245-312j),(-128+0j),(61-325j),(-370-363j),(-609+30j),(-442+472j),(-28+660j),(413+531j),(659+155j),(602-291j),(275-615j),(-169-652j),(-516-386j),(-631+8j),(-484+390j),(-115+592j),(276+517j),(533+197j),(509-194j),(255-483j),(-137-524j),(-463-303j),(-520+113j),(-287+450j),(135+514j),(135+514j),(452-230j),(71-501j),(-320-349j),(10277+0j),(-13824-32640j),(128+0j),0j
b827ebf1303d,1718512002.232775,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-418+175j),(-353+286j),(-252+371j),(-31+439j),(179+391j),(320+263j),(401+128j),(400-24j),(374-152j),(315-259j),(229-357j),(115-409j),(-16-438j),(-140-442j),(-254-419j),(-370-350j),(-462-263j),(-523-145j),(-567-32j),(-580+106j),(-580+106j),(-513+346j),(-455+445j),(-343+526j),(-204+595j),(-54+606j),(114+533j),(251+312j),(-128+0j),(-315+110j),(-368+385j),(-277+560j),(-138+643j),(-16+680j),(112+680j),(224+660j),(307+609j),(401+529j),(479+446j),(524+366j),(550+280j),(564+187j),(563+91j),(548+3j),(548+3j),(476-182j),(430-263j),(359-337j),(280-402j),(168-442j),(53-478j),(-88-457j),(-232-392j),(-347-268j),(-410-105j),(-390-5j),(10277+0j),(-13824-32640j),(128+0j),0j
b827ebf1303d,1718512002.335245,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(620-24j),(552-238j),(417-409j),(102-564j),(-210-505j),(-418-327j),(-511-95j),(-496+124j),(-417+310j),(-273+440j),(-94+513j),(114+504j),(279+450j),(436+324j),(552+167j),(585-35j),(563-232j),(472-384j),(352-532j),(181-636j),(-26-682j),(-228-667j),(-408-590j),(-574-440j),(-681-252j),(-713+0j),(-594+247j),(-292+375j),(-128+0j),(-300-295j),(-667-121j),(-774+170j),(-728+447j),(-588+678j),(-369+823j),(-141+894j),(94+886j),(301+817j),(482+693j),(609+515j),(705+339j),(726+156j),(715-33j),(653-192j),(561-342j),(419-448j),(290-527j),(125-585j),(-39-596j),(-228-543j),(-396-409j),(-511-231j),(-561+5j),(-499+241j),(-304+447j),(-148+505j),(10277+0j),(-14080-32640j),(128+0j),0j
b827ebf1303d,1718512002.437809,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(554+472j),(701+171j),(697-146j),(451-527j),(69-660j),(-275-571j),(-514-371j),(-599-78j),(-572+165j),(-452+392j),(-246+525j),(-6+586j),(236+531j),(422+405j),(571+240j),(625-6j),(577-229j),(438-423j),(279-566j),(53-623j),(-152-622j),(-369-532j),(-515-398j),(-628-191j),(-645+50j),(-560+279j),(-343+448j),(-24+413j),(-128+0j),(-353-36j),(-508+290j),(-374+566j),(-151+713j),(104+758j),(359+683j),(547+554j),(684+357j),(735+111j),(722-111j),(642-303j),(511-470j),(343-555j),(155-612j),(-18-593j),(-214-538j),(-356-422j),(-443-297j),(-520-130j),(-532+51j),(-464+239j),(-328+401j),(-114+496j),(119+488j),(319+357j),(448+123j),(394-99j),(10277+0j),(-14080-32640j),(128+0j),0j
b827ebf1303d,1718512002.539345,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-123-387j),(-266-310j),(-359-189j),(-395+44j),(-309+235j),(-153+345j),(11+391j),(167+348j),(270+264j),(359+158j),(393+39j),(392-110j),(359-245j),(289-364j),(185-482j),(63-539j),(-99-562j),(-255-539j),(-397-493j),(-525-397j),(-639-282j),(-711-144j),(-743+21j),(-724+191j),(-654+366j),(-521+525j),(-291+599j),(3+479j),(-128+0j),(-400-113j),(-666+158j),(-676+424j),(-575+638j),(-439+788j),(-259+880j),(-80+924j),(113+919j),(286+858j),(440+762j),(574+627j),(667+503j),(715+344j),(735+175j),(712+36j),(670-130j),(590-240j),(502-350j),(398-454j),(265-517j),(106-548j),(-64-550j),(-225-481j),(-366-359j),(-456-182j),(-475+40j),(-385+190j),(10277+0j),(-14080-32640j),(128+0j),0j
b827ebf1303d,1718512002.642325,(-1-2048j),(1023-1j),(-1-1024j),(-1020-2049j),(-219+570j),(106+605j),(396+470j),(587+61j),(475-309j),(161-503j),(-143-485j),(-361-298j),(-477-61j),(-422+187j),(-275+365j),(-51+445j),(183+413j),(367+285j),(481+93j),(483-143j),(367-374j),(160-532j),(-82-582j),(-335-517j),(-524-339j),(-637-89j),(-634+184j),(-522+431j),(-308+632j),(12+686j),(325+540j),(448+177j),(-128+0j),(-108+398j),(267+617j),(630+484j),(869+153j),(888-225j),(745-572j),(475-822j),(128-945j),(-254-924j),(-575-754j),(-780-469j),(-855-149j),(-813+180j),(-652+460j),(-402+643j),(-111+726j),(163+650j),(404+524j),(570+293j),(627+38j),(536-233j),(367-439j),(105-542j),(-184-492j),(-407-295j),(-464+5j),(-332+207j),(10277+0j),(-14848-32640j),(128+0j),0j
